,entity,label,start,end
0,1型糖尿病,Disease,3135,3140
1,1型糖尿病,Disease,3800,3805
2,1型糖尿病,Disease,5827,5832
3,1型糖尿病,Disease,5867,5872
4,1型糖尿病,Disease,6351,6356
5,2型糖尿病,Disease,215,220
6,2型糖尿病,Disease,1297,1302
7,2型糖尿病,Disease,1621,1626
8,2型糖尿病,Disease,1831,1836
9,2型糖尿病,Disease,1961,1966
10,2型糖尿病,Disease,2636,2641
11,2型糖尿病,Disease,3121,3126
12,2型糖尿病,Disease,3618,3623
13,2型糖尿病,Disease,4366,4371
14,2型糖尿病,Disease,4483,4488
15,2型糖尿病,Disease,6748,6753
16,2型糖尿病,Disease,6783,6788
17,2型糖尿病,Disease,6812,6817
18,2型糖尿病,Disease,7165,7170
19,2型糖尿病,Disease,8130,8135
20,2型糖尿病,Disease,9544,9549
21,2型糖尿病,Disease,9708,9713
22,2型糖尿病,Disease,10390,10395
23,2型糖尿病,Disease,12385,12390
24,2型糖尿病,Disease,13034,13039
25,2型糖尿病,Disease,13087,13092
26,2型糖尿病,Disease,13905,13910
27,糖尿病肾病,Disease,40,45
28,糖尿病,Disease,46,49
29,微血管并发症,Disease,53,59
30,终末期。肾病,Disease,68,74
31,ESRD,Disease,99,103
32,糖尿病肾病,Disease,129,134
33,ESRD,Disease,140,144
34,透析,Treatment,166,168
35,移植,Operation,170,172
36,糖尿病肾病,Disease,184,189
37,糖尿病肾病,Disease,223,229
38,糖尿病肾病,Disease,268,273
39,蛋白尿,Symptom,284,287
40,ESRD,Disease,294,298
41,糖尿病肾病,Disease,328,333
42,糖尿病,Disease,341,345
43,糖尿病。肾病,Disease,369,375
44,糖尿病肾病,Disease,430,435
45,糖尿病肾病,Disease,442,447
46,肾脏损伤,Disease,456,460
47,DN(diabeticnephropathy),Disease,464,489
48,DKD,Disease,546,549
49,DKD,Disease,610,613
50,糖尿病,Disease,616,619
51,慢性肾病,Disease,622,626
52,肾小球滤(ACR),Test,631,641
53,高于30mg/g,Test_Value,641,650
54,糖尿病性。肾小球。肾病(diabeticglomerulopathy),Disease,664,701
55,肾脏活检,Test,705,709
56,糖尿病,Disease,713,717
57,肾小球病变,Test,720,725
58,糖尿病肾病,Disease,728,733
59,糖尿病,Disease,763,766
60,糖尿病,Disease,836,839
61,糖尿病肾病,Disease,921,927
62,尿白蛋白,Symptom,935,939
63,糖尿病视网膜病变,Disease,940,948
64,糖尿病肾病,Disease,949,955
65,尿微量白蛋白,Symptom,987,993
66,糖尿病肾病,Disease,999,1005
67,糖尿病。肾病,Disease,1016,1022
68,尿白蛋白,Symptom,1031,1035
69,微量白蛋白尿,Symptom,1036,1042
70,糖尿病肾病,Disease,1043,1048
71,糖尿病肾病,Disease,1061,1066
72,尿白蛋白排泄率(UAE/AER),Test,1078,1095
73,ACR,Test,1096,1099
74,UAE,Test,1103,1106
75,ACR,Test,1124,1127
76,ACR,Test,1159,1162
77,尿白蛋白排泄异常,Symptom,1163,1172
78,尿白蛋白,Test,1182,1186
79,24h内剧烈运动,Reason,1233,1242
80,感染,Reason,1243,1245
81,发热,Reason,1246,1248
82,充血性心力衰竭,Reason,1249,1257
83,明显高血糖,Reason,1258,1263
