,entity,label,start,end
0,2型糖尿病,Disease,0,6
1,慢性肾脏病,Disease,8,13
2,口服降糖药,Drug,13,18
3,慢性肾脏病,Disease,62,67
4,糖尿病,Disease,92,95
5,慢性肾脏病,Disease,99,104
6,糖尿病肾脏病变,Disease,106,114
7,2型糖尿病,Disease,116,122
8,慢性肾脏病,Disease,125,130
9,高血糖,Disease,131,135
10,慢性肾脏病,Disease,136,141
11,血糖,Test,161,163
12,口服降糖药,Drug,169,174
13,血糖,Test,179,181
14,2型糖尿病,Disease,245,251
15,慢性肾脏病,Disease,253,258
16,口服降糖药,Drug,258,264
17,2型糖尿病,Disease,285,291
18,慢性肾脏病,Disease,294,299
19,糖尿病,Disease,320,323
20,肾脏病,Disease,324,327
21,2型糖尿病,Disease,333,339
22,高血糖,Reason,131,135
23,糖尿病,Reason,92,95
24,口服降糖药,Drug,302,307
25,慢性肾脏病,Disease,342,347
26,口服降糖药,Drug,348,353
27,口服降糖药,Drug,376,381
28,2型糖尿病,Disease,417,423
29,慢性肾脏病,Disease,425,430
30,慢性肾脏病,Disease,449,454
31,慢性肾脏病,Disease,492,498
32,慢性肾脏病,Disease,513,518
33,慢性肾脏病,Disease,545,550
34,慢性肾脏病,Disease,604,610
35,糖尿病,Disease,645,648
36,糖尿病,Disease,665,668
37,糖尿病,Disease,679,682
38,糖尿病,Disease,703,706
39,糖尿病,Disease,726,729
40,慢性肾脏病,Disease,731,736
41,糖尿病,Reason,726,729
42,糖尿病,Disease,741,744
43,糖尿病,Reason,741,744
44,慢性肾脏病,Disease,746,751
45,糖尿病,Disease,758,761
46,糖尿病,Disease,784,788
47,糖尿病,Reason,784,788
48,慢性肾脏病,Disease,792,797
49,2型糖尿病,Disease,824,830
50,慢性肾脏病,Disease,843,848
51,2型糖尿病,Reason,824,830
52,糖尿病,Disease,863,866
53,糖尿病,Reason,863,866
54,慢性肾脏病,Disease,872,877
55,糖尿病,Disease,894,898
56,糖尿病,Disease,917,920
57,糖尿病,Reason,917,920
58,肾脏并发症,Disease,925,930
59,2型糖尿病,Disease,947,953
60,2型糖尿病,Reason,947,953
61,慢性肾脏病,Disease,956,961
62,糖尿病,Disease,981,984
63,慢性肾脏病,Disease,987,992
64,糖尿病,Disease,996,999
65,2型糖尿病,Disease,1019,1025
66,慢性肾脏病,Disease,1027,1032
67,慢性肾脏病,Disease,1039,1044
68,肾脏结构或功能异常,Symptom,1046,1055
69,持续超过3个月,Duration,1055,1064
70,肾小球滤过率,Test,1080,1086
71,慢性肾脏病,Disease,1198,1203
72,eGFR,Test,1207,1211
73,肾脏损害,Disease,1616,1620
74,病理学,Test,1623,1626
75,尿液,Test,1627,1629
76,血液异常,Test,1630,1634
77,影像学检查,Test,1635,1640
78,2型糖尿病,Disease,1662,1668
79,慢性肾脏病,Disease,1670,1675
80,口服降糖药,Drug,1676,1681
81,2型糖尿病,Disease,1696,1702
82,慢性肾脏病,Disease,1704,1709
83,低血糖,Symptom,1730,1733
84,乳酸性酸中毒,Disease,1746,1752
85,心力衰竭,Disease,1755,1760
86,口服降糖药,Drug,1764,1769
87,肾功能,Test,1794,1797
88,低血糖,Symptom,1815,1818
89,口服降糖药,Drug,1823,1828
90,血糖,Test,1835,1837
91,随机血糖,Test,1840,1844
92,5.0mmol/L,Test_Value,1845,1858
93,低血糖,Symptom,1862,1865
94,血糖,Test,1874,1876
95,2型糖尿病,Disease,1884,1890
96,慢性肾脏病,Disease,1892,1898
97,血糖,Test,1901,1903
98,低血糖,Symptom,1921,1924
99,2型糖尿病,Disease,1962,1968
100,中重度慢性肾脏病,Disease,1970,1979
101,中重度,Level,1970,1973
102,慢性肾脏病,Disease,1242,1248
103,肾功能,Test,1249,1252
104,7.0%~9.0%,Test_Value,1997,2010
105,血糖,Test,2020,2022
106,低血糖,Symptom,2031,2034
107,代谢异常,Disease,2051,2055
108,感染,Disease,2056,2058
109,血糖水平过高,Reason,2042,2048
110,慢性肾脏病,Disease,2065,2070
111,红细胞,Anatomy,2072,2075
112,晚期慢性肾脏病,Disease,2099,2106
113,晚期,Level,2099,2101
114,血糖,Test,2124,2126
115,餐后血糖,Test,2144,2148
116,血糖,Test,2155,2157
117,口服降糖药,Drug,2166,2171
118,口服降糖药,Drug,2175,2180
119,2型糖尿病,Disease,2196,2202
120,慢性肾脏病,Disease,2204,2209
121,血糖,Test,2213,2215
122,口服降糖药,Drug,2230,2235
123,慢性肾脏病,Disease,2258,2263
124,肾,Anatomy,2268,2269
125,口服降糖药物,Drug,2295,2301
126,低血糖,Symptom,2314,2317
127,口服降糖药物,Reason,2295,2301
128,肾功能,Test,2368,2371
129,低血糖,Symptom,2394,2397
130,口服降糖药,Drug,2425,2430
131,口服,Method,2425,2427
132,口服,Method,2295,2297
133,口服,Method,2230,2232
134,口服,Method,2175,2177
135,口服,Method,2166,2168
136,口服,Method,1823,1825
137,口服,Method,1764,1766
138,口服,Method,1676,1678
139,口服,Method,376,378
140,口服,Method,348,350
141,口服,Method,302,304
142,口服,Method,258,260
143,口服,Method,13,15
144,2型糖尿病,Disease,2443,2449
145,慢性肾脏病,Disease,2451,2456
146,双胍类,Drug,2489,2492
147,胰岛素抵抗,Reason,2515,2520
148,降低1.0%~2.0%,Level,2534,2550
149,低血糖,Symptom,2562,2565
150,二甲双胍,Drug,2594,2599
151,肥胖,Disease,2602,2604
152,2型糖尿病,Disease,2605,2611
153,心血管事件,Disease,2613,2618
154,死亡,Disease,2619,2621
155,二甲双胍,Drug,2639,2643
156,2型糖尿病,Disease,2646,2653
157,血糖,Test,2655,2657
158,二甲双胍,Drug,2669,2673
159,肾脏,Anatomy,2678,2680
160,肾功能严重损害,Disease,2686,2693
161,严重,Level,2689,2691
162,二甲双胍,Drug,2694,2698
163,乳酸易在体内蓄积,Symptom,2699,2708
164,乳酸性酸中毒,Disease,2713,2719
165,肾功能严重损害,Reason,2686,2693
166,二甲双胍,Drug,2728,2732
167,慢性肾脏病3a期,Disease,2734,2744
168,3a期,Level,2740,2744
169,磺脲类,Drug,2753,2758
170,胰岛素促泌剂,Drug,2761,2772
171,2型糖尿病,Disease,2816,2823
172,高血糖,Disease,2825,2828
173,第一代磺脲类药物,Drug,2837,2845
174,甲苯磺丁脲,Drug,2847,2852
175,第二代磺脲类药物,Drug,2872,2880
176,格列本脲,Drug,2882,2886
177,肾脏,Anatomy,2910,2912
178,慢性肾脏病,Disease,2920,2925
179,低血糖,Symptom,2942,2945
180,严重,Level,2939,2941
181,低血糖,Symptom,2947,2950
182,持续时间可超过24h,Duration,2951,2963
183,格列本脲,Drug,2973,2977
184,慢性肾脏病1~2期,Disease,2979,2992
185,1~2期,Level,2985,2992
186,3~5期,Level,2997,3004
187,格列美脲,Drug,3008,3012
188,肾脏,Anatomy,3042,3044
189,格列美脲,Drug,3052,3056
190,慢性肾脏病1~2期,Disease,3058,3072
191,1~2期,Level,3065,3072
192,3a期,Level,3081,3085
193,3b~5期,Level,3088,3096
194,格列吡嗪,Drug,3100,3104
195,格列齐特,Drug,3105,3109
196,肾脏,Anatomy,3127,3129
197,低血糖,Symptom,3133,3136
198,格列本脲,Drug,3140,3144
199,口服降糖药,Drug,3151,3156
200,口服,Method,3151,3153
201,肾功能,Test,3160,3163
202,口服降糖药,Drug,3177,3182
203,口服,Method,3177,3179
204,2型糖尿病,Disease,3191,3197
205,慢性肾脏病,Disease,3199,3204
206,格列美脲,Drug,4358,4362
207,格列吡嗪,Drug,4370,4374
208,慢性肾脏病,Disease,4376,4381
209,1~2期,Level,4382,4389
210,3期,Level,4399,4402
211,4~5期,Level,4405,4412
212,格列齐特,Drug,4416,4420
213,慢性肾脏病,Disease,4423,4428
214,1~2期,Level,4429,4436
215,3a期,Level,4447,4451
216,3b期,Level,4455,4458
217,4~5期,Level,4464,4471
218,格列喹酮,Drug,4475,4479
219,肾脏,Anatomy,4508,4510
220,肾功能,Test,4514,4517
221,慢性肾脏病,Disease,4530,4535
222,格列喹酮,Drug,4577,4581
223,慢性肾脏病,Disease,4585,4590
224,1~3期,Level,4591,4598
225,4期,Level,4609,4612
