,entity,label,start,end
0,1型糖尿病,Disease,359,364
1,1型糖尿病,Disease,1938,1943
2,1型糖尿病,Disease,2075,2080
3,1型糖尿病,Disease,2751,2756
4,1型糖尿病,Disease,2852,2857
5,1型糖尿病,Disease,2964,2969
6,1型糖尿病,Disease,3494,3499
7,1型糖尿病,Disease,7732,7737
8,2型糖尿病,Disease,463,468
9,2型糖尿病,Disease,489,494
10,2型糖尿病,Disease,555,560
11,2型糖尿病,Disease,949,954
12,2型糖尿病,Disease,961,966
13,2型糖尿病,Disease,1086,1091
14,2型糖尿病,Disease,1208,1213
15,2型糖尿病,Disease,1883,1888
16,2型糖尿病,Disease,1955,1960
17,2型糖尿病,Disease,1965,1970
18,2型糖尿病,Disease,2054,2059
19,2型糖尿病,Disease,2082,2087
20,2型糖尿病,Disease,2499,2504
21,2型糖尿病,Disease,3060,3065
22,2型糖尿病,Disease,3107,3112
23,2型糖尿病,Disease,3674,3679
24,2型糖尿病,Disease,4421,4426
25,2型糖尿病,Disease,5143,5148
26,2型糖尿病,Disease,6777,6782
27,2型糖尿病,Disease,7710,7715
28,2型糖尿病,Disease,8342,8347
29,2型糖尿病,Disease,8648,8653
30,2型糖尿病,Disease,9948,9953
31,2型糖尿病,Disease,10499,10504
32,2型糖尿病,Disease,10886,10892
33,1型糖尿病,Disease,10754,10760
34,2型糖尿病,Disease,10763,10769
35,肾病,Disease,10792,10794
36,高血压,Disease,10795,10799
37,脂代谢异常,Disease,10800,10805
38,视网膜病变,Disease,10806,10811
39,NAFLD,Disease,10812,10817
40,PCOS,Disease,10818,10822
41,经病变,Disease,10824,10828
42,阻塞性睡眠呼吸暂停,Disease,10829,10838
43,血脂,Test,10851,10853
44,肝酶,Test,10854,10856
45,尿白蛋白/肌酐比值,Test,10857,10866
46,血压,Test,10869,10871
47,眼底检查,Test,10872,10877
48,2型糖尿病,Disease,10609,10615
49,糖尿病,Disease,10620,10623
50,糖尿病家族史,Reason,10637,10643
51,自身抗体,Reason,10644,10648
52,胰岛素,Test,10649,10653
53,C肽释放试验,Test,10655,10662
54,二甲双胍,Drug,10701,10705
55,胰岛素,Drug,10706,10709
56,高血糖,Symptom,10721,10725
57,酮症,Disease,10733,10735
58,酮症酸中毒,Disease,10739,10744
59,胰岛β细胞,Anatomy,397,402
60,儿童青少年肥胖,Disease,178,185
61,儿童青少年肥胖,Disease,431,439
62,1型糖尿病,Disease,455,461
63,2型糖尿病,Disease,342,348
64,2型糖尿病,Disease,214,220
65,2型糖尿病,Disease,521,527
66,多囊卵巢综合征,Disease,1065,1072
67,高血压,Disease,1061,1064
68,高血糖,Disease,1044,1047
69,脂肪肝,Disease,1079,1082
70,PCOS,Disease,1073,1077
71,脂代谢异常,Disease,1054,1060
72,胰岛素分泌绝对不足,Reason,1030,1040
73,β细胞功能衰竭,Reason,1016,1023
74,胰岛素分泌相对不足,Reason,977,987
75,胰岛素抵抗,Reason,969,974
76,血糖升高,Reason,989,993
77,代谢异常,Reason,1000,1005
78,糖尿病,Disease,1232,1235
79,糖尿病,Disease,1252,1255
80,糖尿病,Disease,1260,1263
81,血浆葡萄糖,Test,1272,1277
82,糖尿病,Disease,1291,1295
83,糖尿病,Disease,1305,1308
84,≥7.0mmol/L,Test_Value,1356,1367
85,126mg/dl,Test_Value,1368,1377
86,空腹血糖,Test,1351,1355
87,糖耐量试验,Test,1383,1388
88,2h血糖,Test,1425,1430
89,≥11.1mmol/L,Test_Value,1430,1442
90,200mg/dl,Test_Value,1444,1453
91,三多一少,Symptom,1463,1467
92,糖尿病,Disease,1459,1462
93,随机血糖,Test,1470,1475
94,≥11.1mmol/L,Test_Value,1475,1487
95,200mg/dl,Test_Value,1489,1498
96,糖化血红蛋白,Test,1503,1510
97,HBA1C,Test,1511,1516
98,>6.5%,Test_Value,1518,1523
99,空腹血糖,Test,1647,1651
100,糖耐量,Test,1652,1656
101,糖尿病,Disease,1726,1729
102,急性感染,Disease,1754,1759
103,创伤,Disease,1760,1762
104,糖尿病,Disease,1788,1791
105,血糖,Test,1799,1801
106,空腹血糖受损,Disease,1817,1823
107,糖耐量受损,Disease,1824,1830
108,糖尿病,Disease,1831,1834
109,糖尿病,Disease,1838,1841
110,糖尿病,Disease,1855,1858
111,1型糖尿病,Disease,1869,1876
112,肥胖,Symptom,1975,1977
113,起病缓慢,Symptom,1978,1982
114,症状不明显,Symptom,1983,1988
115,发病年龄较大,Symptom,1989,1995
116,胰岛素抵抗相关的表现,Symptom,2011,2021
117,黑棘皮病,Disease,2024,2028
118,高血压,Disease,2029,2032
119,血脂异常,Disease,2033,2037
120,PCOS,Disease,2038,2042
121,1型糖尿病,Disease,2045,2051
122,1型糖尿病,Disease,2490,2496
123,肥胖,Symptom,2524,2526
124,1型糖尿病,Disease,2558,2564
125,2型糖尿病,Disease,2529,2535
126,肥胖,Disease,2542,2544
127,2型糖尿病,Disease,2584,2591
128,代谢紊乱,Disease,2607,2611
129,酮症,Disease,2613,2615
130,酮症酸中毒,Disease,2616,2622
131,糖尿病,Disease,2642,2646
132,胰岛素,Test,2678,2681
133,C肽释放试验,Test,2683,2690
134,1型糖尿病,Disease,2706,2712
135,2型糖尿病,Disease,2714,2720
136,胰岛素,Test,2726,2729
137,C肽,Test,2731,2734
138,C肽,Test,2758,2760
139,高血糖,Symptom,2776,2779
140,高血糖,Symptom,2783,2786
141,胰岛细胞,Anatomy,2787,2792
142,2型糖尿病,Disease,2803,2810
143,C肽,Test,2812,2815
144,C肽,Test,2835,2837
145,1型糖尿病,Disease,2882,2888
146,2型糖尿病,Disease,2890,2896
147,自身抗体,Test,2862,2866
148,自身抗体,Test,2985,2989
149,阴性,Test_Value,2989,2991
150,2型糖尿病,Disease,3020,3027
151,自身抗体,Test,3082,3086
152,阳性,Test_Value,3086,3088
153,糖尿病,Disease,3122,3125
154,自身抗体,Test,3125,3130
155,阳性,Test_Value,3136,3138
156,Grave病,Disease,3146,3153
157,重症肌无力,Disease,3155,3160
158,自身免疫性疾病,Disease,3161,3168
159,1型糖尿病,Disease,3178,3184
160,自身免疫性多腺体病,Disease,3194,3204
161,单基因糖尿病,Disease,3218,3224
162,单基因糖尿病,Disease,3238,3244
163,青少年发病的成年型糖尿病,Disease,3246,3259
164,MODY,Disease,3299,3303
165,线粒体基因突变糖尿病,Disease,3305,3315
166,maternallyinheriteddiabetesanddeafness,Disease,3317,3359
167,maturity-onsetdiabetesoftheyoung,Disease,3261,3297
168,母系遗传的线粒体基因突变伴有多系统的异常,Disease,3361,3382
169,新生儿糖尿病,Disease,3384,3390
170,neonataldiabetesmellitus,Disease,3391,3417
171,A型胰岛素抵抗综合征,Disease,3419,3429
172,糖尿病,Disease,3465,3468
173,2型糖尿病,Disease,3501,3507
174,糖尿病,Disease,3518,3521
175,MODY基因,Test,3542,3548
176,肥胖,Symptom,3561,3563
177,胰岛素抵抗,Disease,3569,3574
178,严重,Level,3567,3569
179,胰岛素受体基因,Test,3578,3585
180,血糖,Test,3634,3636
181,血糖,Test,3695,3697
182,2型糖尿病,Disease,3757,3764
183,糖尿病,Disease,3945,3948
184,糖尿病,Disease,3868,3871
185,糖尿病,Disease,3994,3997
186,医学营养治疗,Treatment,4052,4058
187,MNT,Treatment,4059,4062
188,糖尿病,Disease,4033,4036
189,糖尿病,Disease,4039,4042
190,MNT,Treatment,4072,4075
191,糖尿病,Disease,4156,4159
192,代谢紊乱,Disease,4133,4137
193,胰岛β细胞,Anatomy,4140,4146
194,MNT,Treatment,4185,4188
195,MNT,Treatment,4172,4175
