,entity,label,start,end
0,2型糖尿病,Disease,3191,3197
1,2型糖尿病,Disease,3524,3530
2,2型糖尿病,Disease,12213,12219
3,TG,Test,7961,7963
4,TG,Test,8120,8122
5,TG,Test,8344,8346
6,TG,Test,8379,8381
7,TG,Test,9819,9821
8,TG,Test,10751,10753
9,TG,Test,12841,12843
10,代谢综合征,Disease,3545,3550
11,代谢综合征,Disease,3620,3625
12,代谢综合征,Disease,11554,11559
13,脂肪细胞,Anatomy,400,404
14,脂肪细胞,Anatomy,429,433
15,脂肪细胞,Anatomy,694,698
16,脂肪细胞,Anatomy,872,876
17,脂肪细胞,Anatomy,941,945
18,脂肪细胞,Anatomy,3462,3466
19,脂肪细胞,Anatomy,4130,4134
20,脂肪细胞,Anatomy,4301,4305
21,脂肪细胞,Anatomy,4399,4403
22,脂肪细胞,Anatomy,4413,4417
23,脂肪细胞,Anatomy,6891,6895
24,脂肪细胞,Anatomy,8426,8430
25,脂肪细胞,Anatomy,10011,10015
26,脂肪细胞,Anatomy,11069,11073
27,脂肪细胞,Anatomy,11335,11339
28,脂肪细胞,Anatomy,11522,11526
29,脂肪细胞,Anatomy,11678,11682
30,脂肪细胞,Anatomy,11815,11819
31,脂肪细胞,Anatomy,12144,12149
32,脂肪细胞,Anatomy,12193,12197
33,脂肪细胞,Anatomy,12640,12645
34,脂肪细胞,Anatomy,12686,12690
35,脂肪细胞,Anatomy,12960,12964
36,脂肪细胞,Anatomy,13280,13285
37,脂肪细胞,Anatomy,13447,13451
38,甘油三酯,Test,447,451
39,甘油三酯,Test,618,622
40,甘油三酯,Test,7955,7959
41,甘油三酯,Test,10754,10758
42,11β-羟基类固醇脱氢酶,Anatomy,172,184
43,3T3-L1细胞,Anatomy,652,661
44,3T3-L1细胞,Anatomy,3846,3855
45,3T3-L1细胞,Anatomy,3902,3911
46,3T3-L1细胞,Anatomy,3934,3943
47,3T3-L1细胞,Anatomy,3997,4006
48,3T3-L1细胞,Anatomy,5178,5187
49,3T3-L1细胞,Anatomy,5530,5539
50,3T3-L1细胞,Anatomy,5580,5589
51,3T3-L1细胞,Anatomy,5913,5922
52,3T3-L1细胞,Anatomy,7167,7177
53,3T3-L1细胞,Anatomy,7384,7393
54,3T3-L1细胞,Anatomy,7623,7632
55,3T3-L1细胞,Anatomy,7972,7981
56,3T3-L1细胞,Anatomy,8816,8825
57,3T3-L1细胞,Anatomy,9127,9136
58,3T3-L1细胞,Anatomy,9204,9214
59,3T3-L1细胞,Anatomy,9314,9323
60,3T3-L1细胞,Anatomy,9329,9338
61,3T3-L1细胞,Anatomy,9351,9360
62,3T3-L1细胞,Anatomy,9435,9445
63,3T3-L1细胞,Anatomy,9451,9460
64,3T3-L1细胞,Anatomy,9473,9482
65,3T3-L1细胞,Anatomy,9749,9759
66,3T3-L1细胞,Anatomy,9864,9873
67,3T3-L1细胞,Anatomy,10897,10906
68,3T3-L1细胞,Anatomy,11400,11409
69,3T3-L1细胞,Anatomy,11478,11487
70,3T3-L1细胞,Anatomy,12374,12383
71,3T3-L1细胞,Anatomy,12515,12524
72,3T3-L1细胞,Anatomy,12821,12830
73,3T3-L1细胞,Anatomy,13029,13038
74,11β-HSD1,Anatomy,93,101
75,11β-HSD1,Anatomy,185,193
76,11β-HSD1,Anatomy,329,337
77,11β-HSD1,Anatomy,467,475
78,11β-HSD1,Anatomy,506,514
79,11β-HSD1,Anatomy,567,575
80,11β-HSD1,Anatomy,626,634
81,11β-HSD1,Anatomy,779,787
82,11β-HSD1,Anatomy,822,830
83,11β-HSD1,Anatomy,1311,1320
84,11β-HSD1,Anatomy,1433,1441
