,entity,label,start,end
0,2型糖尿病,Disease,47,53
1,2型糖尿病,Disease,129,135
2,2型糖尿病,Disease,204,210
3,2型糖尿病,Disease,946,952
4,2型糖尿病,Disease,4001,4007
5,2型糖尿病,Disease,4125,4131
6,2型糖尿病,Disease,9302,9308
7,2型糖尿病,Disease,9584,9590
8,2型糖尿病,Disease,9970,9976
9,2型糖尿病,Disease,10170,10176
10,2型糖尿病,Disease,10446,10452
11,2型糖尿病,Disease,10510,10516
12,2型糖尿病,Disease,10693,10699
13,2型糖尿病,Disease,10782,10788
14,HBA1C,Test,660,665
15,HBA1C,Test,2760,2765
16,HBA1C,Test,4784,4789
17,HBA1C,Test,5862,5867
18,HBA1C,Test,6045,6050
19,HBA1C,Test,6205,6210
20,HBA1C,Test,7839,7844
21,HBA1C,Test,8014,8019
22,HBA1C,Test,8220,8225
23,HBA1C,Test,8280,8285
24,HBA1C,Test,8386,8391
25,HBA1C,Test,9352,9357
26,HBA1C,Test,9410,9415
27,HDL-C,Test,4922,4927
28,HDL-C,Test,5878,5883
29,HDL-C,Test,6706,6711
30,HDL-C,Test,7335,7340
31,HDL-C,Test,7960,7965
32,HDL-C,Test,8136,8141
33,HDL-C,Test,8249,8254
34,LDL-C,Test,4857,4862
35,LDL-C,Test,5795,5800
36,LDL-C,Test,6723,6728
37,LDL-C,Test,7351,7356
38,LDL-C,Test,8243,8248
39,LDL-C,Test,8393,8398
40,空腹血糖,Test,430,434
41,空腹血糖,Test,666,670
42,空腹血糖,Test,4602,4606
43,空腹血糖,Test,4773,4777
44,空腹血糖,Test,4973,4977
45,空腹血糖,Test,5412,5416
46,空腹血糖,Test,5482,5487
47,空腹血糖,Test,5550,5554
48,空腹血糖,Test,5868,5872
49,空腹血糖,Test,6051,6055
50,空腹血糖,Test,6215,6219
51,空腹血糖,Test,7845,7849
52,空腹血糖,Test,8020,8024
53,空腹血糖,Test,9338,9342
54,尿白蛋白,Test,182,186
55,尿白蛋白,Test,224,228
56,尿白蛋白,Test,4034,4038
57,尿白蛋白,Test,4199,4203
58,尿白蛋白,Test,4498,4502
59,尿白蛋白,Test,9742,9746
60,尿白蛋白,Test,10559,10563
61,高密度脂蛋白胆固醇,Test,709,718
62,高密度脂蛋白胆固醇,Test,7341,7350
63,低密度脂蛋白胆固醇,Test,7357,7366
64,总胆固醇,Test,4797,4801
65,总胆固醇,Test,5790,5794
66,总胆固醇,Test,6690,6694
67,体重指数,Test,4405,4409
68,体重指数,Test,4741,4745
69,体重指数,Test,5378,5382
70,体重指数,Test,5852,5857
71,体重指数,Test,6101,6105
72,体重指数,Test,6168,6172
73,体重指数,Test,8001,8005
74,体重指数,Test,8207,8211
75,收缩压,Test,4728,4731
76,收缩压,Test,5858,5861
77,收缩压,Test,6107,6110
78,收缩压,Test,6183,6186
79,收缩压,Test,8006,8009
80,收缩压,Test,8212,8215
81,舒张压,Test,4723,4727
82,舒张压,Test,6112,6115
83,舒张压,Test,6194,6197
84,舒张压,Test,8010,8013
85,舒张压,Test,8216,8219
86,尿酸,Test,683,685
87,尿酸,Test,5884,5886
88,尿酸,Test,6061,6063
89,尿酸,Test,6740,6742
90,尿酸,Test,7861,7863
91,尿酸,Test,8037,8039
92,尿酸,Test,8255,8257
93,尿酸,Test,8292,8294
94,尿酸,Test,8383,8385
95,尿酸,Test,9348,9350
96,尿酸,Test,9389,9391
97,胰岛β细胞功能指数,Test,495,506
98,胰岛β细胞功能指数,Test,5073,5084
99,胰岛β细胞功能指数,Test,7757,7768
100,口服葡萄糖耐量试验,Test,4589,4599
101,胰岛素抵抗指数,Test,449,456
102,胰岛素抵抗指数,Test,4994,5002
103,胰岛素抵抗指数,Test,7735,7742
104,HOMA-IR,Test,457,464
105,HOMA-IR,Test,535,542
106,HOMA-IR,Test,779,786
107,HOMA-IR,Test,2130,2137
108,HOMA-IR,Test,2373,2380
109,HOMA-IR,Test,3069,3076
110,HOMA-IR,Test,5056,5064
111,HOMA-IR,Test,5403,5410
112,HOMA-IR,Test,7493,7500
113,HOMA-IR,Test,7720,7727
114,HOMA-IR,Test,8530,8537
115,HOMA-IR,Test,8615,8622
116,HOMA-IR,Test,8715,8722
117,HOMA-IR,Test,10023,10030
118,HOMA-IR,Test,10071,10078
119,HOMA-IR,Test,10110,10117
120,HOMA-β,Test,507,513
121,HOMA-β,Test,551,557
122,HOMA-β,Test,803,809
123,HOMA-β,Test,2251,2257
124,HOMA-β,Test,2390,2396
125,HOMA-β,Test,3121,3127
126,HOMA-β,Test,5134,5140
127,HOMA-β,Test,5452,5458
128,HOMA-β,Test,7501,7507
129,HOMA-β,Test,7743,7749
130,HOMA-β,Test,8561,8567
131,HOMA-β,Test,8653,8659
132,HOMA-β,Test,8752,8758
133,HOMA-β,Test,10037,10043
134,HOMA-β,Test,10084,10090
135,HOMA-β,Test,10125,10131
136,空腹胰岛素,Test,671,677
137,空腹胰岛素,Test,4778,4783
138,空腹胰岛素,Test,4978,4983
139,空腹胰岛素,Test,5428,5434
140,空腹胰岛素,Test,5460,5465
141,空腹胰岛素,Test,5531,5536
142,空腹胰岛素,Test,6659,6664
143,空腹胰岛素,Test,7850,7855
144,空腹胰岛素,Test,8025,8031
145,空腹胰岛素,Test,8226,8231
146,空腹胰岛素,Test,8286,8291
147,空腹胰岛素,Test,9382,9388
148,β细胞,Anatomy,957,961
149,β细胞,Anatomy,9103,9107
150,β细胞,Anatomy,9117,9121
151,β细胞,Anatomy,10267,10271
152,β细胞,Anatomy,10281,10285
153,β细胞,Anatomy,8944,8948
154,β细胞,Anatomy,10793,10797
155,身高,Test,4717,4719
156,身高,Test,4734,4736
157,身高,Test,5389,5391
158,体重,Test,4720,4722
159,体重,Test,4737,4739
160,体重,Test,5385,5387
