,entity,label,start,end
0,2型糖尿病,Disease,7320,7326
1,HDL-C,Test,5428,5433
2,HDL-C,Test,5721,5726
3,LDL-C,Test,5209,5214
4,LDL-C,Test,5705,5710
5,二甲双胍,Drug,3380,3384
6,他汀类,Drug,3371,3374
7,高密度脂蛋白胆固醇,Test,5727,5736
8,低密度脂蛋白胆固醇,Test,5711,5720
9,总胆固醇,Test,5193,5197
10,体重指数,Test,172,176
11,体重指数,Test,469,474
12,体重指数,Test,479,483
13,体重指数,Test,609,613
14,体重指数,Test,2907,2911
15,体重指数,Test,3290,3294
16,体重指数,Test,3669,3673
17,体重指数,Test,3691,3695
18,体重指数,Test,4047,4051
19,体重指数,Test,4271,4275
20,体重指数,Test,4489,4493
21,体重指数,Test,4570,4574
22,体重指数,Test,4636,4640
23,体重指数,Test,4889,4893
24,体重指数,Test,4917,4921
25,体重指数,Test,5123,5127
26,体重指数,Test,5473,5477
27,体重指数,Test,5999,6003
28,体重指数,Test,6166,6170
29,体重指数,Test,6522,6526
30,体重指数,Test,6936,6941
31,体重指数,Test,7040,7044
32,体重指数,Test,7354,7358
33,体重指数,Test,7679,7683
34,收缩压,Test,4079,4082
35,收缩压,Test,4385,4388
36,收缩压,Test,5155,5158
37,舒张压,Test,4083,4086
38,舒张压,Test,4389,4392
39,舒张压,Test,5166,5169
40,腰围,Test,169,171
41,腰围,Test,466,468
42,腰围,Test,476,478
43,腰围,Test,605,607
44,腰围,Test,615,617
45,腰围,Test,2866,2868
46,腰围,Test,3543,3545
47,腰围,Test,3719,3721
48,腰围,Test,4044,4046
49,腰围,Test,4268,4270
50,腰围,Test,4434,4436
51,腰围,Test,4494,4496
52,腰围,Test,4567,4569
53,腰围,Test,4575,4577
54,腰围,Test,4633,4635
55,腰围,Test,4914,4916
56,腰围,Test,5026,5028
57,腰围,Test,5465,5467
58,腰围,Test,5488,5490
59,腰围,Test,5780,5782
60,腰围,Test,5996,5998
61,腰围,Test,6163,6165
62,腰围,Test,6259,6261
63,腰围,Test,6415,6417
64,腰围,Test,6519,6521
65,腰围,Test,6707,6709
66,腰围,Test,6788,6790
67,腰围,Test,6808,6810
68,腰围,Test,6868,6870
69,腰围,Test,7005,7007
70,腰围,Test,7084,7086
71,腰围,Test,7131,7133
72,腰围,Test,7351,7353
73,腰围,Test,7461,7463
74,腰围,Test,7676,7678
75,代谢综合征,Disease,3003,3008
76,代谢综合征,Disease,6860,6865
77,代谢综合征,Disease,7332,7337
78,甘油三酯,Test,5177,5181
79,BMI,Test,1116,1119
80,BMI,Test,1198,1201
81,BMI,Test,1549,1552
82,BMI,Test,2040,2043
83,BMI,Test,2225,2228
84,BMI,Test,2299,2302
85,身高,Test,617,619
86,身高,Test,3705,3707
87,身高,Test,3727,3729
88,身高,Test,4496,4498
89,身高,Test,4577,4579
90,身高,Test,5490,5492
91,身高,Test,5782,5784
92,身高,Test,7134,7136
93,体重,Test,3697,3699
94,腹高,Test,59,61
95,腹高,Test,75,77
96,腹高,Test,166,168
97,腹高,Test,191,193
98,内脏脂肪面积,Test,62,68
99,内脏脂肪面积,Test,248,254
100,腹型肥胖,Disease,276,280
101,腹型肥胖,Disease,288,292
102,腹高,Test,338,340
103,腹型肥胖,Disease,387,391
104,腹型肥胖,Disease,459,463
105,腹高,Test,447,449
106,腹高,Test,556,558
107,腹型肥胖,Disease,564,568
108,腹型肥胖,Disease,578,582
109,腹高,Test,595,597
110,CT,Test,2638,2640
111,核磁共振,Test,2642,2646
112,CT,Test,2683,2685
113,MRI,Test,2688,2691
114,内脏脂肪面积,Test,2695,2701
115,腹型肥胖,Disease,2722,2726
116,心血管疾病,Disease,2737,2743
117,肥胖,Disease,2783,2785
118,核磁共振,Test,2789,2793
119,CT,Test,2795,2797
120,内脏型肥胖,Disease,2855,2860
121,腹型肥胖,Disease,2874,2878
122,区域性脂肪,Anatomy,2912,2917
123,CT,Test,2963,2965
124,腹高,Test,2969,2971
125,冠心病,Disease,3010,3013
126,糖尿病,Disease,3014,3017
127,内脏脂肪面积,Test,3074,3081
128,腹型肥胖,Disease,3093,3097
129,腹高,Test,3102,3104
130,腹型肥胖,Disease,3147,3151
131,体重,Test,3318,3321
132,利尿剂,Drug,3375,3378
133,腹高,Test,3401,3403
134,腹高,Test,3425,3427
135,内脏脂肪面积,Test,3910,3916
136,脂肪面积,Test,3946,3950
137,脂肪,Anatomy,3996,3998
138,内脏脂肪面积,Test,4033,4039
139,腹高,Test,4040,4043
140,血脂,Test,4087,4089
141,内脏脂肪面积,Test,4227,4233
142,内脏脂肪面积,Test,4245,4251
143,腹高,Test,4265,4267
144,低密度脂蛋白,Test,4401,4408
145,高密度脂蛋白,Test,4409,4415
146,腹高,Test,4431,4433
147,内脏脂肪面积,Test,4520,4526
148,腹高,Test,4564,4566
149,内脏脂肪面积,Test,4582,4588
150,腹高,Test,4596,4598
151,内脏脂肪面积,Test,4599,4605
152,腹高,Test,4748,4750
153,腹型肥胖,Disease,4760,4764
154,腹型肥胖,Disease,4785,4789
155,腹部,Anatomy,3628,3630
156,腹高,Test,4881,4883
157,内脏脂肪面积,Test,5444,5450
158,腹型肥胖,Disease,5979,5983
159,腹高,Test,5986,5988
160,糖尿病,Disease,6039,6042
161,缺血性心脑血管疾病,Disease,6043,6053
162,IMT,Test,6097,6100
163,心血管疾病,Disease,6119,6124
164,腹型肥胖,Disease,6143,6148
165,腹高,Test,6209,6211
166,腹高,Test,6246,6248
167,糖尿病,Disease,6470,6474
168,腹高,Test,6499,6501
169,腹高,Test,6538,6540
170,腹型肥胖,Disease,6561,6565
171,腹高,Test,6580,6582
172,腹高,Test,6613,6615
173,腹型肥胖,Disease,6677,6681
174,中心性肥胖,Disease,6710,6715
175,皮下脂肪,Anatomy,6791,6795
176,腹型肥胖,Disease,6886,6890
177,腹型肥胖,Disease,7029,7033
178,腹型肥胖,Disease,7069,7073
179,心血管疾病,Disease,7140,7145
180,心血管疾病,Disease,7188,7194
181,高血压,Disease,7316,7319
182,高脂血症,Disease,7327,7331
183,心血管疾病,Disease,7338,7343
184,腹型肥胖,Disease,7424,7429
185,腹部CT,Test,7484,7489
186,CT,Test,7516,7518
187,内脏脂肪面积,Test,7579,7585
188,腹高,Test,7629,7631
189,腹型肥胖,Disease,7667,7671
190,腹型肥胖,Disease,7691,7695
191,腹型肥胖,Disease,7774,7778
192,WHtR,Test,1148,1152
193,WHtR,Test,1207,1211
194,WHtR,Test,1558,1562
195,WHtR,Test,2014,2018
196,WHtR,Test,2241,2245
197,WHtR,Test,2315,2319
198,WHtR,Test,3682,3686
199,WHtR,Test,3714,3718
200,WHtR,Test,4278,4282
201,WHtR,Test,4642,4646
202,WHtR,Test,4884,4888
203,WHtR,Test,4909,4913
204,WHtR,Test,5775,5779
205,WHtR,Test,5892,5896
206,WHtR,Test,5990,5994
207,WHtR,Test,7684,7688
208,VFA,Test,2703,2706
209,VFA,Test,6084,6087
210,AUC,Test,4742,4745
211,AUC,Test,4842,4845
212,AUC,Test,4862,4865
213,AUC,Test,4870,4873
214,AUC,Test,6012,6015
215,腰围,Test,4894,4897
216,腹高,Test,4906,4908
217,腹高,Test,4945,4947
218,腹高,Test,5457,5459
219,腹型肥胖,Disease,79,83
220,腹部CT扫描,Test,135,143
221,内脏脂肪,Test,599,603
222,内脏脂肪,Test,2649,2653
223,心血管,Anatomy,2939,2942
224,炎症,Disease,3030,3032
225,CT,Test,3068,3070
226,CT,Test,3214,3216
227,腹部疾患,Disease,3308,3312
228,肿瘤,Disease,3334,3336
229,内分泌疾病,Disease,3337,3342
230,腹部CT,Test,3747,3752
231,多层螺旋CT,Test,3786,3793
232,CT,Test,3832,3834
233,生化指标,Test,4416,4420
234,腹部脂肪面积,Test,5794,5800
235,腹型肥胖,Disease,5808,5812
236,80cm2,Test_Value,5801,5806
237,腹部,Anatomy,6768,6771
238,死亡,Disease,7146,7148
239,脂肪,Anatomy,7620,7622
240,腰椎,Anatomy,233,235
241,≥80cm2,Test_Value,254,261
242,91cm,Test_Value,500,505
243,25kg/m2,Test_Value,506,516
244,20cm,Test_Value,404,409
245,20.3cm,Test_Value,412,420
246,0.52,Test_Value,519,524
247,86.5cm,Test_Value,528,536
248,25kg/m2,Test_Value,537,547
249,0.54,Test_Value,550,555
250,20cm,Test_Value,569,574
251,80cm2,Test_Value,2709,2715
252,≥80cm2,Test_Value,3083,3090
253,<18kg/m2,Test_Value,3277,3288
254,≥35kg/m2,Test_Value,3294,3305
255,≥80cm2,Test_Value,4233,4240
256,<80cm2,Test_Value,4251,4258
257,22.4cm,Test_Value,4445,4453
258,94.0cm,Test_Value,4456,4464
259,21.0cm,Test_Value,4468,4476
260,89.1cm,Test_Value,4479,4487
261,123.6cm2对98.5cm2,Test_Value,4527,4549
262,≥80cm2,Test_Value,4928,4935
263,20.0cm,Test_Value,4958,4966
264,20.3cm,Test_Value,4972,4980
265,91.0cm,Test_Value,5046,5054
266,86.5cm,Test_Value,5058,5066
267,25kg/m2,Test_Value,5838,5848
268,0.886,Test_Value,5856,5862
269,0.785,Test_Value,5865,5871
270,0.52,Test_Value,5906,5911
271,0.54,Test_Value,5915,5920
272,≥80cm2,Test_Value,6087,6094
273,增加,Test_Value,6101,6103
274,22cm,Test_Value,6368,6373
275,20cm,Test_Value,6378,6383
276,102cm,Test_Value,6418,6424
277,88cm,Test_Value,6427,6432
278,3.1cm,Test_Value,6445,6452
279,20.1cm,Test_Value,6456,6464
280,20cm,Test_Value,6482,6487
281,20cm,Test_Value,6541,6546
282,20cm,Test_Value,6664,6669
283,90cm,Test_Value,6728,6733
284,85cm,Test_Value,6737,6742
285,94cm,Test_Value,6819,6824
286,89cm,Test_Value,6829,6834
287,86.5cm,Test_Value,6873,6881
288,91cm,Test_Value,6897,6902
289,86.5cm,Test_Value,6905,6913
290,25kg/m2,Test_Value,6946,6956
291,曲线下面积,Test,6957,6962
292,0.886,Test_Value,6964,6970
293,0.785,Test_Value,6973,6979
294,90cm,Test_Value,7011,7016
295,80cm,Test_Value,7021,7026
296,<25kg/m2,Test_Value,7044,7055
297,0.45~0.5,Test_Value,7205,7217
298,0.49~0.52,Test_Value,7242,7255
299,80cm2,Test_Value,7392,7398
300,0.52,Test_Value,7406,7411
301,0.54,Test_Value,7415,7420
302,0.5,Test_Value,7437,7441
303,20cm,Test_Value,7657,7662
304,91cm,Test_Value,7704,7709
305,25kg/m2,Test_Value,7710,7720
306,0.52,Test_Value,7721,7726
307,86.5cm,Test_Value,7730,7738
308,25kg/m2,Test_Value,7739,7749
309,0.54,Test_Value,7750,7755
310,腰围身高比值,Test,177,184
311,腰围身高比值,Test,450,456
312,腰围身高比值,Test,484,490
313,腰围身高比值,Test,2927,2933
314,腰围身高比值,Test,3675,3681
315,腰围身高比值,Test,4052,4058
316,腰围身高比值,Test,6527,6533
317,腰围身高比值,Test,7100,7106
318,腰围身高比值,Test,7306,7312
319,腰围身高比值,Test,6171,6178
320,内脏脂肪,Test,201,205
321,内脏脂肪,Test,341,346
322,IMT,Test,2761,2764
323,骨密度,Test,2799,2802
324,内脏脂肪,Test,2984,2988
325,β细胞功能异常,Disease,3034,3042
326,内脏脂肪,Test,3113,3117
327,体重,Test,3272,3274
328,皮质醇增多症,Disease,3343,3350
329,甲状腺,Disease,3351,3354
330,下丘脑,Disease,3355,3358
331,垂体疾病,Disease,3359,3363
332,腋中线,Anatomy,3597,3600
333,第12肋下缘,Anatomy,3601,3609
334,髂前上嵴,Anatomy,3610,3615
335,内脏脂肪,Test,3735,3739
336,总胆固醇脂蛋白,Test,4393,4400
337,腹部内脏脂肪面积,Test,4648,4656
338,腹高,Test,4826,4828
339,内脏脂肪,Anatomy,6023,6027
340,中心性肥胖,Reason,6033,6038
341,内脏型肥胖,Disease,6110,6115
342,内脏脂肪,Test,6217,6221
343,内脏脂肪,Test,6249,6253
344,内脏脂肪,Test,6502,6506
345,内脏脂肪,Test,7150,7154
346,内脏脂肪,Test,7363,7367
347,内脏脂肪,Anatomy,7637,7641
348,腰椎,Anatomy,2669,2671
349,腰椎,Anatomy,3496,3498
350,脐,Anatomy,3510,3511
