,entity,label,start,end
0,1型糖尿病,Disease,10504,10509
1,2型糖尿病,Disease,127,132
2,2型糖尿病,Disease,559,564
3,2型糖尿病,Disease,1282,1287
4,2型糖尿病,Disease,11829,11834
5,磺脲类药物,Drug,88,93
6,磺脲类药物,Drug,203,208
7,T2DM慢性并发症,Disease,224,233
8,糖尿病,Disease,97,100
9,微血管并发症,Disease,241,247
10,磺脲类药物,Drug,250,255
11,磺脲类药物,Drug,305,310
12,T2DM,Disease,526,530
13,T2DM,Disease,3011,3015
14,二甲双胍不耐受,Disease,600,607
15,二甲双胍不耐受,Disease,3051,3058
16,体重增加,SideEff,3108,3112
17,超重,Disease,3114,3116
18,肥胖,Disease,3117,3119
19,每1~2周,Frequency,3357,3362
20,格列喹酮,Drug,3554,3558
21,CKD,Disease,3561,3564
22,1~3期,Level,3565,3569
23,4期,Level,3572,3574
24,5期,Level,3581,3583
25,格列美脲,Drug,3586,3590
26,CKD,Disease,3593,3596
27,1~2期,Level,3597,3601
28,3a期,Level,3604,3607
29,3b~5期,Level,3611,3616
30,格列齐特,Drug,3619,3623
31,格列吡嗪,Drug,3624,3628
32,HBA1C,Test,3162,3167
33,1%~2%,Test_Value,3168,3173
34,列奈类药物,Drug,3195,3200
35,低血糖,SideEff,3228,3231
36,体重增加,SideEff,3232,3236
37,短效制剂和中、长效制剂,Drug,3250,3261
38,餐后血糖升高,Symptom,3263,3269
39,短效制剂,Drug,3278,3282
40,空腹血糖升高,Symptom,3284,3290
41,空腹、餐后血糖均高,Symptom,3297,3306
42,中、长效制剂,Drug,3311,3317
43,胰岛细胞,Anatomy,3420,3424
44,ALT,Test,3498,3501
45,3倍参考值上限,Test_Value,3518,3525
46,2倍参考值上限,Test_Value,3531,3538
47,TBIL,Test,3526,3530
48,ALT,Test,3514,3517
49,8~10倍参考值上限,Test_Value,3502,3512
50,CKD,Disease,3631,3634
51,1~2期,Level,3635,3639
52,3期,Level,3642,3644
53,4~5期,Level,3650,3654
54,格列本脲,Drug,3657,3661
55,CKD,Disease,3666,3669
56,1~2期,Level,3670,3674
57,3~5期,Level,3677,3681
58,格列本脲B,Drug,3736,3742
59,低血糖,SideEff,3722,3725
60,低血糖,SideEff,3818,3821
61,格列本脲,Drug,3830,3834
62,低血糖,Disease,3836,3839
63,GLP-1受体激动剂,Drug,3929,3939
64,DPP-4抑制剂,Drug,3940,3948
65,低血糖,SideEff,3955,3958
66,β细胞功能衰退,Reason,4026,4033
67,二甲双胍,Drug,4151,4155
68,改良剂型,Drug,3875,3879
69,二甲双胍,Drug,4508,4512
70,二甲双胍,Drug,4682,4687
71,二甲双胍不耐受或存在禁忌证,Disease,4714,4727
72,7.5%,Test_Value,4789,4793
73,糖化血红蛋白,Test,4759,4765
74,超重或肥胖,Symptom,4886,4891
75,体重增加,SideEff,4910,4914
76,超重,Symptom,4916,4918
77,肥胖,Symptom,4920,4922
78,改良剂型,Drug,4958,4962
79,氯磺丙脲、格列本脲,Drug,4991,5000
80,肥胖,Disease,5002,5004
81,3~5k,Test_Value,5023,5027
82,格列美脲,Drug,5038,5043
83,格列齐特缓释片,Drug,5049,5056
84,0.4~0.6kg,Test_Value,5072,5081
85,高血糖,Disease,5229,5232
86,胰岛β细胞,Anatomy,5241,5247
87,胰岛素,Anatomy,5249,5252
88,依赖KATP通道和不依赖KATP通道刺激胰岛β细胞分泌胰岛素,Reason,5255,5288
89,格列美脲,Drug,5293,5297
90,葡萄糖依赖性的促胰岛素分泌作用,Reason,5302,5317
91,人体葡萄糖钳夹试验,Test,5337,5346
92,10%~52%(平均29%),Test_Value,5367,5382
93,1%~2%,Test_Value,5409,5414
94,HBA1C,Test,5402,5407
95,外周葡萄糖利用率,Test,5357,5365
96,胰岛素增敏作用,Reason,5329,5336
97,HBA1C,Test,5439,5444
98,HbA1c,Test,5447,5452
99,胰岛,Anatomy,5559,5561
100,糖尿病,Disease,5565,5568
101,甲苯磺丁脲,Drug,5660,5665
102,氯磺丙脲,Drug,5685,5689
103,低血糖,SideEff,5698,5701
104,低血糖,SideEff,5773,5776
105,每日3次,Frequency,5867,5871
106,每日给药1~2次,Frequency,5881,5889
107,餐后血糖升高,Symptom,5893,5900
108,空腹血糖升高,Symptom,5915,5921
109,空腹、餐后血糖均高,Symptom,5928,5937
110,短效制剂,Drug,5909,5913
111,中、长效制剂,Drug,5942,5949
112,低血糖,SideEff,5951,5954
113,每1~2周调整一次,Frequency,6016,6025
114,HBA1C,Test,6103,6108
115,"1%~2%,平均降低1.5%",Test_Value,6108,6123
116,格列齐特缓释片,Drug,6140,6148
117,52周,Duration,6152,6155
118,HBA1C,Test,6157,6162
119,1.28%,Test_Value,6164,6169
120,低血糖事件,Disease,6184,6189
121,格列吡嗪控释片,Drug,6196,6204
122,8周,Duration,6208,6210
123,HBA1C,Test,6212,6217
124,1.12%,Test_Value,6219,6224
125,HBA1C,Test,6245,6250
126,1.26%,Test_Value,6252,6257
