,entity,label,start,end
0,2型糖尿病,Disease,1119,1124
1,腹腔镜垂直胃绑带术,Operation,109,119
2,腹腔镜手术,Operation,608,613
3,开腹手术,Operation,622,626
4,肥胖与糖尿病外科手术,Operation,783,793
5,肥胖与糖尿病外科手术,Operation,1034,1045
6,肥胖与糖尿病外科手术,Operation,1062,1072
7,病程小于15年,Duration,1148,1155
8,空腹血清C肽,Test,1158,1164
9,二分之一,Test_Value,1174,1178
10,体质量指数,Test,1182,1187
11,25.0~27.5kg/m²,Test_Value,1211,1226
12,腹腔镜Roux-en-Y胃旁路术,Operation,1565,1582
13,腹腔镜胃袖状切除术,Operation,1632,1641
14,胆胰分流并十二指肠转位术,Operation,1682,1695
15,BPD-DS,Operation,1753,1759
16,维生素和微量元素的缺乏,Disease,1784,1796
17,胃旁路术基础上发展的mini-bypass,Operation,1847,1869
18,袖状胃切除术基础上发展的“SG+X术”,Operation,1870,1890
19,胃折叠术,Operation,1893,1897
20,空回肠侧侧吻合术,Operation,1898,1907
21,血糖,Test,2076,2078
22,糖化血红蛋白,Test,2079,2085
23,胰岛素,Test,2086,2089
24,C肽,Test,2090,2092
25,血生化,Test,2103,2106
26,营养状况及心理,Test,2107,2114
27,精神评估,Test,2115,2119
28,骨密度,Test,2130,2133
29,维生素及微量元素,Test,2134,2142
30,T2DM,Disease,1144,1148
31,BMI,Test,1204,1207
32,肥胖,Disease,71,73
33,糖尿病,Disease,74,77
34,胃旁路的胃囊,Anatomy,639,645
35,肥胖,Disease,1115,1117
36,T2DM,Disease,1234,1238
37,肥胖,Disease,1241,1243
38,肥胖,Disease,1386,1388
39,肥胖,Disease,1490,1493
40,维生素,Drug,1802,1805
41,微量元素,Drug,1805,1809
42,正常值下限的二分之一,Test_Value,1168,1178
43,代谢综合征,Disease,1391,1396
44,代谢性疾病,Disease,1496,1501
