,entity,label,start,end
0,1型糖尿病,Disease,823,829
1,1型糖尿病,Disease,925,931
2,1型糖尿病,Disease,2442,2448
3,1型糖尿病,Disease,2868,2874
4,1型糖尿病,Disease,2890,2896
5,1型糖尿病,Disease,5290,5296
6,空腹血糖,Test,758,762
7,空腹血糖,Test,1131,1135
8,亚临床甲状腺功能减退,Disease,3369,3379
9,游离三碘甲状原氨酸,Test,1385,1395
10,游离甲状腺素,Test,1403,1409
11,甲状腺功能,Test,1379,1384
12,β细胞,Anatomy,4420,4424
13,TSH,Test,1430,1433
14,FT4,Test,1412,1415
15,FT3,Test,1397,1400
16,身高,Test,959,961
17,体重,Test,972,974
18,甲状腺过氧化物酶抗体,Test,1474,1485
19,TPOAb,Test,1486,1491
20,TPOAb,Test,3383,3388
21,WFS1,Anatomy,23,27
22,WFS1,Anatomy,114,118
23,WFS1,Anatomy,497,501
24,WFS1,Anatomy,514,518
25,WFS1,Anatomy,645,649
26,WFS1,Anatomy,1980,1984
27,WFS1,Anatomy,2021,2025
28,WFS1,Anatomy,2252,2256
29,WFS1,Anatomy,2464,2468
30,WFS1,Anatomy,2748,2752
31,WFS1,Anatomy,4448,4452
32,WFS1,Anatomy,4822,4826
33,WFS1,Anatomy,5210,5214
34,TGAb,Test,3389,3393
35,PCR,Test,2102,2105
36,血糖,Test,839,841
37,血糖,Test,1806,1808
38,血糖,Test,5491,5493
39,甲状腺球蛋白抗体,Test,1493,1501
40,促甲状腺激素,Test,1422,1428
41,IAA,Test,806,809
42,IAA,Test,1265,1268
43,IAA,Test,3486,3489
44,IAA,Test,4372,4375
45,ICA,Test,3498,3501
46,Wolfram综合征,Disease,329,340
47,DIDMOAD,Disease,357,364
48,神经元,Anatomy,534,537
49,听力下降,Symptom,615,619
50,视力下降,Symptom,620,624
51,尿频,Symptom,625,627
52,Wolfram综合征,Disease,661,672
53,视力下降,Symptom,712,716
54,4年,Duration,708,711
55,3年,Duration,717,720
56,血糖高,Symptom,704,707
57,尿频,Symptom,722,724
58,1年,Duration,725,728
59,听力下降,Symptom,729,733
60,6个月,Duration,734,738
61,口渴,Symptom,748,750
62,多饮,Symptom,751,753
63,多尿,Symptom,754,756
64,18.0mmol/L,Test_Value,763,777
65,谷氨酸脱羧酶抗体,Test,778,786
66,GAD-Ab,Test,787,793
67,阳性,Test_Value,794,796
68,胰岛素自身抗体,Test,797,805
69,阴性,Test_Value,810,812
70,胰岛素,Drug,832,836
71,双眼视力下降,Symptom,855,861
72,尿频,Symptom,876,878
73,听力下降,Symptom,912,916
74,视力下降,Symptom,935,939
75,听力下降,Symptom,940,945
76,116.5cm,Test_Value,962,971
77,22.5kg,Test_Value,975,983
78,血压,Test,984,986
79,100/60mmHg,Test_Value,987,1000
80,心率,Test,1020,1022
81,104次/min,Test_Value,1023,1034
82,双侧瞳孔等大等圆,Symptom,1036,1044
83,对光反射迟钝,Symptom,1055,1061
84,右眼0.2,Test_Value,1065,1072
85,视力,Test,1062,1064
86,左眼0.3,Test_Value,1074,1081
87,9.4mmol/L,Test_Value,1136,1149
88,16.3mmol/L,Test_Value,1160,1174
89,C肽,Test,1175,1178
90,2hC肽,Test,1230,1237
