,entity,label,start,end
0,2型糖尿病,Disease,134,139
1,2型糖尿病,Disease,404,409
2,糖尿病,Disease,12,15
3,预混胰岛素,Drug,224,229
4,基础和餐时胰岛素,Drug,235,243
5,餐后血糖,Test,246,250
6,预混胰岛素,Drug,277,283
7,胰岛素,Drug,284,287
8,胰岛β细胞,Anatomy,330,335
9,胰岛β细胞,Anatomy,362,367
10,β细胞,Anatomy,392,395
11,每日1次,Frequency,429,433
12,基础胰岛素,Drug,433,438
13,每日1~2次,Frequency,439,445
14,预混胰岛素,Drug,445,451
15,胰岛素,Drug,455,458
16,基础胰岛素,Drug,466,472
17,预混胰岛素,Drug,473,478
18,口服降糖药,Drug,479,484
19,基础+餐时,Method,514,520
20,每日3次,Frequency,524,528
21,预混胰岛素,Drug,588,593
22,预混胰岛素,Drug,639,644
23,预混胰岛素,Drug,647,652
24,预混人胰岛素,Drug,656,662
25,预混胰岛素类似物,Drug,663,672
26,预混人胰岛素,Drug,683,689
27,预混人胰岛素,Drug,691,697
28,重组人胰岛素(短效),Drug,700,711
29,精蛋白锌重组人胰岛素(中效),Drug,712,726
30,低预混人胰岛素,Drug,745,752
31,中预混人胰岛素,Drug,754,761
32,低预混人胰岛素,Drug,766,773
33,优泌林70/30,Drug,799,807
34,诺和灵30R,Drug,808,814
35,甘舒霖30R,Drug,815,822
36,重和林M30,Drug,823,829
37,预混胰岛素,Drug,832,837
38,预混胰岛素,Drug,859,864
39,糖尿病,Disease,869,872
40,低预混人胰岛素及其类似物,Drug,890,902
41,中预混人胰岛素及其类似物,Drug,903,915
42,胰岛素,Drug,930,933
43,预混胰岛素,Drug,947,952
44,基础及餐时,Method,957,962
45,胰岛素,Drug,962,965
46,糖尿病,Disease,978,981
47,预混人胰岛素,Drug,1064,1070
48,胰岛素,Drug,984,987
49,预混胰岛素类似物,Drug,1071,1079
50,中预混人胰岛素,Drug,2145,2152
51,诺和灵50R,Drug,2178,2184
52,甘舒霖50R,Drug,2185,2191
53,预混胰岛素类似,Drug,2198,2205
54,预混胰岛素类似物,Drug,2208,2216
55,精蛋白锌速效胰岛素类似物,Drug,2242,2255
56,低预混胰岛素类似物,Drug,2274,2283
57,胰岛素制剂,Drug,2265,2271
58,中预混胰岛素类似物,Drug,2284,2294
59,低预混胰岛素类似物,Drug,2301,2310
60,赖脯胰岛素25,Drug,2323,2330
61,门冬胰岛素30,Drug,2364,2371
62,30%,Amount,2372,2375
63,25%,Amount,2331,2334
64,赖脯胰岛素,Drug,2334,2339
65,75%,Amount,2340,2343
66,精蛋白锌赖脯胰岛素,Drug,2343,2353
67,门冬胰岛素,Drug,2375,2381
68,70%,Amount,2382,2385
69,精蛋白锌门冬胰岛素,Drug,2385,2394
70,中预混胰岛素类似物,Drug,2397,2406
71,赖脯胰岛素50,Drug,2418,2426
72,50%,Amount,2427,2430
73,赖脯胰岛素,Drug,2430,2435
74,50%,Amount,2436,2439
75,精蛋白锌赖脯胰岛素),Drug,2439,2450
76,门冬胰岛素50,Drug,2451,2458
77,50%,Amount,2459,2462
78,50%,Amount,2468,2471
79,门冬胰岛素,Drug,2462,2467
80,精蛋白锌门冬胰岛素,Drug,2471,2481
81,预混胰岛素,Drug,2486,2491
82,每日1次,Frequency,2500,2504
83,7.0%,Test_Value,2559,2563
84,预混胰岛素,Drug,2574,2579
85,低预混人胰岛素,Drug,2583,2590
86,低预混胰岛素类似物,Drug,2591,2601
87,中预混人胰岛素,Drug,2602,2609
88,中预混胰岛素类似物,Drug,2610,2619
89,每日1次,Frequency,2632,2636
90,0.2IU/(kg·d),Amount,2643,2655
91,晚餐前,Method,2657,2660
92,每日2次,Frequency,2712,2716
93,预混人胰岛素,Drug,2737,2743
94,餐前30min皮下注射,Method,2745,2758
95,预混胰岛素类似物,Drug,2760,2768
96,餐前即刻注射,Method,2770,2776
97,餐后立即注射,Method,2777,2784
98,预混胰岛素,Drug,2790,2795
99,中预混胰岛素,Drug,2819,2825
100,每日2次,Frequency,2868,2872
101,9.0%,Test_Value,2912,2916
102,9.0%,Test_Value,2967,2971
103,基础胰岛素,Drug,2987,2992
104,7%,Test_Value,3004,3006
105,预混胰岛素,Drug,3026,3031
106,低预混人胰岛素,Drug,3035,3042
107,低预混胰岛素类似物,Drug,3043,3053
108,中预混人胰岛素,Drug,3054,3061
109,中预混胰岛素类似物,Drug,3062,3072
110,0.2~0.4IU/(kg·d),Amount,3101,3118
111,10~12IU/d,Amount,3119,3128
112,早餐前,Frequency,3136,3139
113,晚餐前,Frequency,3140,3144
114,基础胰岛素,Drug,3156,3161
115,预混胰岛素,Drug,3162,3168
116,早餐前,Frequency,3191,3195
117,晚餐前,Frequency,3196,3199
118,每日2次,Frequency,3269,3273
119,预混胰岛素,Drug,3264,3269
120,胰岛素促泌剂,Drug,3287,3293
121,低血糖,SideEff,3309,3312
122,体重增加,SideEff,3313,3317
123,二甲双胍,Drug,3328,3332
124,α-糖苷酶抑制剂,Drug,3333,3341
125,TZD类药物,Drug,3356,3362
126,预混人胰岛素,Drug,3380,3386
127,预混胰岛素类似,Drug,3404,3411
128,中预混胰岛素,Drug,3755,3761
129,早餐后血糖,Test,3797,3802
130,13.5mmol/L,Test_Value,3803,3813
131,早餐前后血糖波动,Test,3814,3823
132,4.4mmol/L),Test_Value,3824,3834
133,低预混人胰岛素,Drug,3863,3870
134,每日2次,Frequency,3870,3874
135,餐后血糖,Test,3879,3884
136,11.1mmol/L,Test_Value,3885,3895
137,低预混胰岛素类似物,Drug,3915,3924
138,中预混胰岛素类似物,Drug,3929,3939
139,每日3次,Frequency,3945,3949
140,预混胰岛,Drug,3966,3970
141,每日2次,Frequency,3971,3975
142,7.0%,Test_Value,3984,3988
143,基础+餐时胰岛素,Drug,4007,4015
144,预混胰岛素,Drug,4043,4048
145,低预混胰岛素类似物,Drug,4052,4061
146,中预混胰岛素类似物,Drug,4062,4072
