,entity,label,start,end
0,C反应蛋白,Anatomy,94,100
1,CREBH蛋白,Anatomy,69,77
2,CREBH,Anatomy,203,208
3,C反应蛋白,Anatomy,217,223
4,C反应蛋白,Test,341,347
5,CREBH,Test,348,353
6,免疫球蛋白结合蛋白,Test,381,390
7,BIP,Test,392,395
8,CREBH蛋白,Test,430,438
9,C反应蛋白,Test,496,502
10,CREBH,Test,503,508
11,CHOP,Test,509,513
12,BIP,Test,516,519
13,肝细胞,Anatomy,546,549
14,C反应蛋白,Test,569,575
15,CREBH,Test,606,611
16,C反应蛋白,Test,721,727
17,肝细胞,Anatomy,753,756
18,C反应蛋白,Test,757,763
19,CREBH,Anatomy,782,787
20,C反应蛋白,Test,798,805
21,cAMP应答元件结合蛋白H,Anatomy,826,841
22,C反应蛋白,Anatomy,843,849
23,心血管疾病,Disease,3105,3110
24,CVD,Disease,3111,3114
25,CVD,Disease,3171,3174
26,C反应蛋白,Reason,3185,3191
27,粥样硬化,Disease,3193,3197
28,CVD,Disease,3205,3208
29,IL-6,Anatomy,3247,3251
30,肿瘤坏死因子α,Anatomy,3252,3261
31,TNF-α,Anatomy,3262,3267
32,IL-17,Anatomy,3270,3275
33,C反应蛋白,Anatomy,3284,3290
34,cAMP应答元件结合蛋白H,Anatomy,3335,3350
35,CREBH,Anatomy,3422,3427
36,C反应蛋白,Anatomy,3433,3439
37,CREBH,Anatomy,3463,3468
38,C反应蛋白,Anatomy,3500,3507
39,CREBH,Anatomy,3536,3541
40,C反应蛋白,Anatomy,3550,3556
41,C反应蛋白,Anatomy,3596,3602
42,C反应蛋白,Anatomy,3638,3644
43,NAFLD,Disease,3655,3660
44,CVD,Disease,3663,3666
45,L02细胞,Anatomy,3689,3695
46,肝细胞,Anatomy,3718,3721
47,L02细胞,Anatomy,4148,4154
48,肝细胞,Anatomy,4621,4624
49,CREBH,Anatomy,5716,5721
50,CREBH,Test,5727,5732
51,C反应蛋白,Test,5733,5740
52,CHOP,Test,5741,5745
53,BIP,Test,5748,5751
54,L02细胞,Anatomy,5767,5773
55,L02细胞,Anatomy,6743,6749
56,CREBH,Test,7080,7085
57,BIP,Test,7086,7089
58,CHOP,Test,7090,7094
59,C反应蛋白,Test,7097,7104
60,CREBH,Test,7148,7153
61,C反应蛋白,Test,7650,7656
62,CREBH,Anatomy,7786,7791
63,CREBH,Anatomy,9756,9761
64,L02细胞,Anatomy,9797,9803
65,L02细胞,Anatomy,9852,9858
66,CREBH,Anatomy,10040,10045
67,L02细胞,Anatomy,10130,10136
68,BIP,Test,10138,10141
69,CHOP,Test,10144,10148
70,BIP,Test,10196,10199
71,CHOP,Test,10202,10206
72,BIP,Test,10234,10237
73,CHOP,Test,10240,10244
74,NAFLD,Disease,10280,10285
75,死亡,Disease,10295,10298
76,CVD,Reason,10305,10308
77,肝脏相关疾病,Reason,10310,10316
78,NAFLD,Disease,10333,10338
79,CVD,Disease,10342,10345
80,颈动脉内膜增厚,Symptom,10363,10370
81,动脉粥样硬化,Disease,10373,10379
82,CVD,Disease,10411,10414
83,肥胖,Reason,10399,10401
84,糖尿病,Reason,10402,10405
85,慢性炎症,Reason,10438,10442
86,血脂紊乱,Reason,10443,10447
87,肝细胞,Anatomy,10466,10469
88,库否细胞,Anatomy,10470,10474
89,肝星形细胞,Anatomy,10475,10480
90,IL-6,Anatomy,10486,10490
91,TNF-α,Anatomy,10493,10498
92,肝细胞,Anatomy,10520,10524
93,肝星状细胞,Anatomy,10525,10530
94,C反应蛋白,Anatomy,10539,10545
95,cAMP应答元件结合蛋白,Anatomy,10557,10570
96,肝脏,Anatomy,10578,10580
97,肝脏,Anatomy,10587,10589
98,CREBH,Anatomy,10604,10609
99,肝脏,Anatomy,10614,10616
100,CREBH,Anatomy,10651,10656
101,CREBH,Anatomy,10707,10712
102,肝脏,Anatomy,10725,10727
103,L02细胞,Anatomy,10778,10784
104,CREBH,Anatomy,10817,10822
105,CREBH,Test,10871,10876
106,CREBH,Test,10938,10943
107,肝脏,Anatomy,10987,10989
108,CREBH,Anatomy,11051,11056
109,CREBH,Anatomy,11072,11077
110,C反应蛋白,Anatomy,11084,11090
111,CREBH,Test,11327,11332
112,CREBH,Anatomy,11455,11460
113,C反应蛋白,Test,11476,11482
114,肝细胞,Anatomy,11508,11511
115,CREBH,Test,11513,11518
116,CREBH,Anatomy,11645,11650
117,CREBH,Anatomy,11662,11667
118,C反应蛋白,Anatomy,11700,11707
119,C反应蛋白,Anatomy,11729,11735
120,STAT,Anatomy,11751,11755
121,C/EBP,Anatomy,11756,11763
122,NF-κB,Anatomy,11766,11771
123,CREBH,Anatomy,11785,11790
124,肝脏,Anatomy,11824,11826
125,游离脂肪酸,Test,8091,8096
126,FFA,Test,1498,1501
127,FFA,Test,1960,1963
128,FFA,Test,2091,2094
129,FFA,Test,2211,2214
130,FFA,Test,2323,2326
131,FFA,Test,2396,2399
132,FFA,Test,2461,2464
133,PCR,Test,4871,4874
134,CREBH,Anatomy,884,889
135,CREBH,Anatomy,1370,1375
136,CREBH,Anatomy,1692,1697
137,CREBH,Anatomy,1821,1826
138,CREBH,Anatomy,1872,1877
139,CREBH,Anatomy,2006,2011
140,CREBH,Anatomy,2299,2304
141,CREBH,Anatomy,2527,2532
142,CREBH,Anatomy,2588,2593
143,CREBH,Anatomy,2925,2930
144,CREBH,Anatomy,5003,5008
145,CREBH,Anatomy,5336,5341
146,CREBH,Anatomy,8447,8452
147,CREBH,Anatomy,8777,8782
148,CREBH,Anatomy,9103,9108
149,CREBH,Anatomy,9159,9164
150,CREBH,Anatomy,9252,9257
151,CREBH,Anatomy,9576,9581
152,CREBH,Anatomy,9630,9635
153,CREBH,Anatomy,9692,9697
154,脂肪酸,Anatomy,78,81
155,脂肪酸,Anatomy,165,168
156,L02细胞,Anatomy,236,242
157,油酸,Anatomy,250,252
158,软脂酸,Anatomy,252,255
159,脂肪,Test,319,321
160,mRNA,Test,396,400
161,细胞活力,Test,306,310
162,CCK-8法,Test,297,304
163,流式,Test,312,314
164,实时PCR,Test,325,332
165,Western印迹法,Test,409,420
166,细胞核,Anatomy,422,425
167,脂肪酸,Anatomy,469,472
168,实时PCR,Test,481,487
169,mRNA,Test,520,524
170,脂肪酸,Anatomy,541,544
171,脂肪变,Symptom,549,552
172,软脂酸,Anatomy,556,559
173,脂肪酸,Anatomy,598,601
174,脂肪酸,Anatomy,650,653
175,软脂酸,Anatomy,654,657
176,内质网,Anatomy,662,665
177,软脂酸,Anatomy,747,750
178,油酸,Anatomy,770,772
179,软脂酸,Anatomy,791,794
180,内质网,Anatomy,851,854
181,饱和脂肪酸,Anatomy,858,863
182,NF-κB,Anatomy,3305,3310
183,STAT3,Anatomy,3311,3316
184,C/EBP,Anatomy,3319,3326
185,内质网,Anatomy,3452,3455
186,细胞核,Anatomy,3471,3474
187,内质网,Anatomy,3477,3480
188,ATF6,Anatomy,3486,3490
189,启动子,Anatomy,3508,3511
190,内质网,Anatomy,3543,3546
191,脂肪酸,Anatomy,3578,3581
192,脂肪变,Symptom,3587,3590
193,内质网,Anatomy,3603,3606
194,脂肪变,Symptom,3695,3698
195,细胞活力,Test,3704,3708
196,HL-7702,Anatomy,3723,3730
197,L02,Anatomy,3734,3737
198,L02细胞,Anatomy,3761,3767
199,脂肪酸,Anatomy,3791,3794
200,L02细胞,Anatomy,3798,3804
201,CCK-8,Anatomy,3829,3834
202,CCK-8,Anatomy,3852,3857
203,脂肪酸,Anatomy,3863,3866
204,CCK-8,Anatomy,3884,3890
205,脂肪酸,Anatomy,3894,3897
206,CCK-8,Anatomy,4013,4018
207,细胞活力,Test,4045,4049
208,细胞存活率(%),Test,4056,4066
209,空白对照组OD值,Test_Value,4079,4089
210,实验组OD值,Test_Value,4070,4078
211,对照组OD值,Test_Value,4094,4102
212,空白对照组OD值,Test_Value,4103,4113
213,脂肪酸,Anatomy,4192,4196
214,油酸,Anatomy,3971,3973
215,软脂酸,Anatomy,3974,3977
216,油酸,Anatomy,4310,4312
217,软脂酸,Anatomy,4313,4316
218,胰酶,Anatomy,4398,4400
219,细胞荧光强度,Test,4460,4466
220,腊酯,Anatomy,4550,4552
221,脂肪酸,Anatomy,4562,4565
222,荧光强度,Test,4600,4604
223,脂质沉积量,Test,4611,4616
224,脂肪酸,Anatomy,4757,4760
225,RNA,Anatomy,4776,4779
226,细胞核,Anatomy,5496,5499
227,脂肪酸,Anatomy,5528,5531
228,核蛋白,Anatomy,5542,5545
229,BCA蛋白定量法,Test,5546,5555
230,兔抗人LMNB2单克隆抗体,Anatomy,5634,5650
231,siRNA,Anatomy,5707,5712
232,脂肪酸,Anatomy,5792,5795
233,RNA,Anatomy,5883,5886
234,siRNA,Anatomy,5901,5906
235,siRNA,Anatomy,5947,5952
236,siRNA,Anatomy,5992,5997
237,脂肪酸,Anatomy,6008,6012
238,RNA,Anatomy,6044,6047
239,脂肪酸,Anatomy,6076,6079
240,L02细胞,Anatomy,6088,6094
241,CCK-8法细胞活力实验,Test,6710,6723
242,甘油三酯沉积测定,Test,6724,6732
243,脂肪酸,Anatomy,6735,6738
244,软脂酸,Anatomy,6759,6762
245,脂肪酸,Anatomy,6786,6789
246,细胞活力,Test,6797,6801
247,脂肪酸,Anatomy,6812,6815
248,脂肪酸,Anatomy,7134,7137
249,脂肪酸,Anatomy,7422,7425
250,L02细胞,Anatomy,7441,7447
251,内质网,Anatomy,7620,7623
252,脂肪酸,Anatomy,7694,7697
253,内质网,Anatomy,7797,7800
254,软脂酸,Anatomy,7809,7812
255,siRNA,Anatomy,9730,9735
256,siRNA,Anatomy,9786,9791
257,PCR法,Test,9819,9824
258,siRNA,Anatomy,9861,9866
259,脂肪酸,Anatomy,10008,10011
260,脂肪酸,Anatomy,10047,10050
261,内质网,Anatomy,10099,10103
262,脂肪酸,Anatomy,10162,10165
263,脂肪酸,Anatomy,10226,10229
264,内质网,Anatomy,10258,10261
265,HNF4α,Anatomy,10590,10595
266,急性炎症反应障碍,Disease,10663,10671
267,脂质,Anatomy,10727,10729
268,FA,Anatomy,10732,10734
269,脂质,Anatomy,10738,10740
270,脂质,Anatomy,10754,10756
271,脂肪变,Symptom,10784,10787
272,脂肪酸,Anatomy,10795,10799
273,脂肪酸,Anatomy,10857,10860
274,内质网,Anatomy,11040,11043
275,C反应蛋白,Test,11239,11246
276,核内活化水平,Test,11291,11297
277,内质网,Anatomy,11302,11305
278,内质网,Anatomy,11339,11342
279,RNA,Anatomy,11402,11405
280,脂肪酸,Anatomy,11431,11434
281,内质网,Anatomy,11470,11473
282,饱和脂肪酸,Anatomy,11500,11506
283,饱和脂肪酸,Anatomy,11526,11532
284,内质网,Anatomy,11535,11538
285,内质网,Anatomy,11583,11587
286,高尔基体,Anatomy,11610,11615
287,S1P,Anatomy,11619,11622
288,S2P,Anatomy,11625,11628
289,细胞核,Anatomy,11670,11673
290,内质网,Anatomy,11676,11679
291,ATF6,Anatomy,11686,11690
292,启动子,Anatomy,11708,11711
293,肝源性C反应蛋白,Anatomy,11829,11840
294,C反应蛋白,Test,9711,9717
295,L02细胞,Anatomy,10863,10869
296,升高,Test_Value,579,581
297,显著下降,Test_Value,729,733
298,升高,Test_Value,614,616
299,升高,Test_Value,7157,7159
300,升高,Test_Value,7610,7612
301,升高,Test_Value,7659,7661
302,表达升高,Test_Value,9717,9722
303,显著下降,Test_Value,10025,10029
304,无显著变化,Test_Value,10209,10214
305,升高,Test_Value,10249,10251
306,升高,Test_Value,10880,10883
307,升高,Test_Value,10946,10948
308,升高,Test_Value,11335,11338
309,显著下降,Test_Value,11486,11490
310,增加,Test_Value,11521,11523
311,肝细胞,Anatomy,89,92
312,脂肪变,Symptom,171,174
313,肝细胞,Anatomy,174,177
314,C/EBP同源蛋白C/EBP,Test,354,374
315,CHOP,Test,375,379
316,CREBH蛋白,Anatomy,453,461
317,CREBH蛋白,Test,633,641
318,CREBH,Anatomy,698,703
319,脂肪变性,Symptom,817,821
320,肝细胞,Anatomy,821,824
321,非酒精性脂肪性肝病,Reason,3048,3057
322,NAFLD,Reason,3095,3100
323,C反应蛋白,Anatomy,3150,3156
324,白细胞介素,Anatomy,3234,3239
325,(IL)-1,Anatomy,3239,3246
326,cAMP应答元件结合蛋白H,Anatomy,186,201
327,CREBHsiRNA,Anatomy,680,691
328,CREBH基因,Anatomy,711,719
329,体外脂肪变细胞,Anatomy,3525,3533
330,CREBH蛋白,Anatomy,3620,3628
331,甘油三酯,Test,4129,4133
332,甘油三酯,Anatomy,4553,4558
333,C反应蛋白,Anatomy,4626,4632
334,CREBH,Anatomy,4633,4638
335,免疫球蛋白结合蛋白,Anatomy,4639,4649
336,C/EBP同源蛋白,Anatomy,4688,4700
337,BIP,Anatomy,4682,4685
338,CHOP,Anatomy,4729,4733
339,CREBH,Anatomy,5504,5509
340,CREBH,Anatomy,5613,5618
341,CREBH基因,Anatomy,5873,5881
342,CREBH基因,Anatomy,5892,5900
343,甘油三酯,Test,6095,6099
344,脂肪含量,Test,7032,7036
345,CREBH,Test,7571,7576
346,CHOP基因表达,Test,7601,7610
347,核内CREBH蛋白,Test,7675,7686
348,CREBH,Anatomy,7734,7739
349,核内CREBH蛋白,Anatomy,7770,7781
350,C反应蛋白,Anatomy,9769,9776
351,CREBH蛋白,Anatomy,9806,9814
352,C反应蛋白mRNA表达,Test,9833,9848
353,CREBHsiRNA,Anatomy,9892,9903
