,entity,label,start,end
0,空腹血糖,Test,2551,2555
1,空腹血糖,Test,2784,2788
2,空腹血糖,Test,4139,4143
3,空腹血糖,Test,4229,4233
4,血清网膜素,Test,63,68
5,体重指数,Test,147,151
6,PCOS,Disease,172,176
7,体重,Test,177,179
8,体重指数,Test,302,306
9,体重指数,Test,343,347
10,脂肪组织,Anatomy,1577,1581
11,脂肪因子,Test,1602,1606
12,脂肪因子,Test,1650,1655
13,高雄激素血症,Disease,1878,1885
14,高雄激素血症,Disease,1894,1900
15,库欣综合征,Disease,2003,2008
16,分泌雄激素的肿瘤,Disease,2009,2018
17,外源性雄激素应用,Disease,2019,2027
18,排卵障碍,Disease,2035,2039
19,高催乳素血症,Disease,2045,2051
20,卵巢早衰,Disease,2052,2056
21,垂体或下丘脑性闭经,Disease,2057,2066
22,甲状腺功能异常,Disease,2067,2075
23,超声检查,Test,2147,2151
24,卵巢多囊改变,Disease,2153,2159
25,基础性激素水平,Test,2163,2170
26,内分泌疾病,Disease,2226,2231
27,肿瘤,Disease,2232,2234
28,心血管疾病,Disease,2235,2241
29,超重,Disease,2243,2245
30,肥胖,Disease,2246,2248
31,肥胖,Disease,2265,2267
32,肥胖,Disease,2283,2285
33,体重指数,Test,2288,2292
34,肥胖,Disease,2304,2307
35,体重指数,Test,2308,2312
36,超重,Disease,2324,2326
37,体重,Test,2353,2355
38,阴道或盆腔B超检查,Test,2515,2526
39,雌二醇,Test,2569,2572
40,LH,Test,2573,2575
41,FSH,Test,2576,2579
42,孕激素,Test,2580,2583
43,催乳素,Test,2584,2587
44,放射免疫法,Test,2588,2593
45,酶联免疫吸附法,Test,2679,2687
46,体重指数,Test,2769,2773
47,空腹胰岛素,Test,2800,2805
48,体重,Test,2925,2927
49,FSH,Test,3187,3190
50,体重,Test,3322,3324
51,空腹胰岛素,Test,3839,3844
52,睾酮,Test,3924,3926
53,LH,Test,3927,3929
54,催乳素,Test,3967,3970
55,FSH,Test,4001,4004
56,雌二醇,Test,4027,4030
57,体重指数,Test,4056,4060
58,空腹胰岛素,Test,4061,4066
59,睾酮,Test,4100,4102
60,LH,Test,4144,4146
61,体重,Test,4110,4112
62,FSH,Test,4147,4150
63,LH/FSH,Test,4151,4159
64,催乳素,Test,4161,4164
65,体重,Test,4193,4195
66,体重指数,Test,4261,4265
67,雌二醇,Test,4266,4269
68,体重指数,Test,4353,4358
69,睾酮,Test,4481,4483
70,LH/FSH,Test,4485,4493
71,体重指数,Test,4568,4573
72,空腹胰岛素,Test,4574,4579
73,睾酮,Test,4588,4590
74,LH/FSH,Test,4591,4599
75,体重指数,Test,4728,4732
76,体重指数,Test,4808,4812
77,体重指数,Test,4868,4872
78,体重指数,Test,4878,4882
