,entity,label,start,end
0,1型糖尿病,Disease,1845,1850
1,1型糖尿病,Disease,1983,1988
2,2型糖尿病,Disease,30,35
3,2型糖尿病,Disease,1822,1827
4,2型糖尿病,Disease,2055,2060
5,2型糖尿病,Disease,2324,2329
6,2型糖尿病,Disease,4325,4330
7,2型糖尿病,Disease,5223,5228
8,2型糖尿病,Disease,5794,5799
9,2型糖尿病,Disease,5842,5847
10,HBA1C,Test,89,94
11,HBA1C,Test,333,338
12,7.5%,Test_Value,344,348
13,心血管疾病(CVD),Disease,371,381
14,<6.5%,Test_Value,519,524
15,HBA1C,Test,511,516
16,血管,Disease,533,535
17,HBA1C,Test,560,565
18,<6.4%,Test_Value,577,582
19,CVD极高危因素,Symptom,717,725
20,CVD极高危因素,Symptom,384,392
21,糖尿病,Disease,393,396
22,CVD,Disease,711,714
23,血糖,Test,61,63
24,糖尿病,Disease,66,69
25,糖尿病,Disease,223,226
26,糖尿病,Disease,139,142
27,血糖,Test,242,244
28,糖尿病微血管病变,Disease,249,257
29,血糖,Test,310,312
30,年龄较大,Symptom,353,358
31,死亡,Disease,527,529
32,低血糖,Disease,747,750
33,心血管事件,Disease,752,757
34,血糖,Test,768,770
35,HBA1C,Test,775,780
36,血糖,Test,812,814
37,HBA1C,Test,819,824
38,<7%,Test_Value,827,830
39,HBA1C,Test,939,944
40,<6.5%,Test_Value,947,953
41,HBA1C,Test,976,981
42,<6.5%,Test_Value,989,994
43,糖尿病,Disease,998,1001
44,血糖,Test,1003,1005
45,血糖,Test,1022,1024
46,糖尿病,Disease,1129,1132
47,血糖,Test,1171,1173
48,血糖,Test,1262,1264
49,严重,Level,1286,1288
50,低血糖,Disease,1288,1291
51,HBA1C,Test,1302,1307
52,2型糖尿病,Disease,1344,1350
53,HBA1C,Test,1351,1356
54,HBA1C,Test,1388,1393
55,糖尿病并发症,Symptom,1432,1438
56,严重,Level,1439,1441
57,HBA1C,Test,1464,1469
58,<6.5%,Test_Value,1475,1480
59,低血糖,Symptom,1487,1491
60,体重增加,Symptom,1492,1496
61,HBA1C,Test,1504,1509
62,<6%,Test,1512,1515
63,糖尿病,Disease,1530,1533
64,糖尿病,Disease,1585,1588
65,HBA1C,Test,1632,1637
66,<6.5%,Test_Value,1640,1645
67,HBA1C,Test,1709,1714
68,<6%,Test_Value,1717,1720
69,HBA1C,Test,1731,1736
70,CVD,Disease,1747,1750
71,增加,Level,1757,1759
72,糖尿病,Disease,1762,1765
73,越长,Level,1767,1769
74,CVD,Disease,1776,1779
75,越小,Level,1784,1786
76,1%,Level,1819,1821
77,心血管事件,Disease,1827,1832
78,CVD,Disease,1878,1881
79,HBA1C,Test,1882,1887
80,<8%,Test,1890,1893
81,CVD,Disease,1902,1905
82,下降,Level,1915,1917
83,微血管,Anatomy,1997,2001
84,动脉粥样硬化,Disease,2013,2019
85,降低,Level,2089,2091
86,心肌梗死,Disease,2094,2098
87,血糖,Test,2120,2122
88,大血管,Anatomy,2123,2127
89,糖尿病,Disease,2164,2167
90,血糖,Test,2176,2178
91,体重,Test,2183,2185
92,血脂,Test,2186,2188
93,血压,Test,2189,2191
94,CVD,Disease,2204,2207
95,口服降糖药物,Drug,2235,2241
96,胰岛素,Drug,2249,2252
97,血糖,Test,2258,2260
98,HBA1C,Test,2271,2276
99,<7%,Test_Value,2279,2282
100,低血糖,Symptom,2287,2290
101,体重增加,Symptom,2291,2295
102,低血糖,Symptom,2350,2353
103,低血糖,Symptom,2387,2390
104,低血糖,Symptom,2392,2396
105,血糖,Test,2400,2402
106,<3.3mmol/L,Test_Value,2402,2413
107,HBA1C,Test,2426,2431
108,<6%,Test_Value,2434,2437
109,(HbAlc,Test,2452,2458
110,<7%,Test_Value,2458,2462
111,胰岛素,Drug,2470,2473
112,口服药物,Drug,2445,2449
113,HBA1C,Test,2477,2482
114,<8.1%,Test_Value,2485,2490
115,严重,Level,2511,2513
116,低血糖,Symptom,2513,2516
117,胰岛素,Drug,2527,2530
118,胰岛素,Drug,2550,2553
119,体重增加,Symptom,2554,2558
120,体重增加,Symptom,2560,2564
121,胰岛素抵抗,Symptom,2569,2575
122,CVD,Disease,2578,2581
123,胰岛素,Drug,2601,2604
124,降糖药物,Drug,2637,2641
125,降糖药物,Drug,2663,2667
126,血糖,Test,2678,2680
127,HBA1C,Test,2695,2700
128,<6%,Test_Value,2703,2707
129,低血糖,Symptom,2728,2732
130,血糖,Test,2747,2749
131,CVD,Disease,2792,2795
132,CVD,Disease,2796,2799
133,极高危,Symptom,2799,2802
134,糖尿病,Disease,2805,2808
135,CVD,Disease,2814,2817
136,CVD,Disease,2820,2823
137,极高危,Symptom,2823,2826
138,HBA1C,Test,2832,2837
139,≤7.5%,Test_Value,2840,2845
140,CVD,Disease,2857,2860
141,低血糖,Symptom,2868,2871
142,HBA1C,Test,2889,2894
143,7%,Test_Value,2900,2902
144,大血管,Anatomy,2905,2908
145,大血管,Anatomy,2961,2964
146,CVD,Disease,3038,3041
147,低血糖,Symptom,3102,3105
148,HBA1C,Test,3155,3160
149,<6.o%,Test_Value,3163,3168
150,低血糖,Symptom,3175,3178
151,血糖,Test,3207,3209
152,低血糖,Symptom,3217,3220
153,CVD事件,Disease,3239,3244
154,较轻,Level,3279,3281
155,大血管,Anatomy,3295,3298
156,糖尿病,Disease,3311,3315
157,大血管,Anatomy,3323,3326
158,CVD,Disease,3348,3351
159,CVD,Disease,3352,3355
160,极高危,Level,3355,3358
161,血糖,Symptom,3360,3362
162,血糖,Test,3381,3383
163,低血糖,Symptom,3393,3396
164,CVD,Disease,3413,3416
165,降糖药物,Drug,3429,3433
166,血糖,Test,3489,3491
167,血糖,Test,3585,3587
168,血糖,Test,3601,3603
169,HBA1C,Test,3640,3645
170,<7%,Test_Value,3648,3651
171,HBA1C,Test,3684,3689
172,<8%,Test_Value,3692,3696
173,严重,Level,3710,3712
174,低血糖,Symptom,3712,3715
175,HBA1C,Test,3756,3761
176,<9%,Symptom,3764,3767
177,HbAlc,Test,3776,3781
178,较高,Level,3781,3783
179,高血糖症状,Symptom,3790,3795
180,急性代谢紊乱,Symptom,3796,3802
181,感染,Symptom,3803,3805
182,血糖,Test,3823,3825
183,低血糖,Symptom,3868,3871
184,低血糖昏迷,Disease,3890,3895
185,心脑血管动脉粥样硬化,Disease,3943,3954
186,低血糖,Symptom,3959,3962
187,心肌梗死,Disease,3965,3969
188,脑卒中,Disease,3970,3973
189,轻微,Level,3978,3980
190,低血糖,Symptom,3981,3984
191,摔伤,Disease,3991,3993
192,骨折,Disease,3994,3996
193,血糖,Test,4104,4106
194,高血糖药物,Drug,4135,4140
195,糖尿病病程>15年,Duration,4173,4182
196,HBA1C,Test,4341,4346
197,<7%,Test_Value,4349,4352
198,HBA1C,Test,4371,4376
199,7%一9%,Test_Value,4383,4388
200,HBA1C,Test,4410,4415
201,>9%,Test_Value,4418,4421
202,低血糖,Symptom,4453,4457
203,严重,Level,4468,4470
204,低血糖,Symptom,4470,4473
205,吡格列酮,Drug,4492,4496
206,大血管事件,Disease,4497,4502
207,严重,Level,4563,4565
208,低血糖,Symptom,4565,4569
209,低血糖,Symptom,4599,4602
210,低血糖,Symptom,4626,4629
211,低血糖,Symptom,4653,4656
212,严重,Level,4681,4683
213,低血糖,Symptom,4684,4687
214,血糖,Test,4696,4698
215,低血糖,Symptom,4713,4716
216,血糖,Test,4725,4727
217,妊娠期高血糖,Disease,4744,4750
218,糖尿病,Disease,4752,4755
219,妊娠,Disease,4757,4759
220,妊娠前糖尿病,Disease,4760,4767
221,糖尿病,Disease,4775,4778
222,HBA1C,Test,4799,4804
223,血糖,Test,4808,4810
224,糖尿病,Disease,4812,4815
225,妊娠糖尿病,Disease,4821,4826
226,糖尿病,Disease,4847,4850
227,血糖,Test,4858,4860
228,HBA1C,Test,4864,4869
229,<6.5%,Test_Value,4872,4877
230,胰岛素,Drug,4881,4884
231,HbAlc,Test,4889,4894
232,<7%,Test_Value,4894,4898
233,低血糖,Symptom,4901,4904
234,HBA1C,Test,4914,4919
235,>8%,Test_Value,4922,4925
236,血糖,Test,4942,4944
237,高血糖,Symptom,4947,4950
238,流产,Disease,4958,4960
239,胎儿畸形,Disease,4961,4965
240,妊娠前糖尿病,Disease,4971,4977
241,妊娠期发现的糖尿病,Disease,4978,4987
242,低血糖,Symptom,4991,4995
243,血糖,Test,5000,5002
244,HBA1C,Test,5011,5016
245,<6%,Test_Value,5019,5022
246,毛细血管血糖餐前、睡前及夜间,Test,5024,5038
247,不高于5.4mmol/L,Test_Value,5038,5051
248,餐后峰值,Test,5053,5057
249,不高于7.1mmol/L,Test_Value,5057,5070
250,GDM毛细血管血糖餐前,Test,5075,5087
251,<5.3mmol/L,Test_Value,5087,5098
252,餐后1h,Test,5099,5104
253,<7.8mmol/L,Test_Value,5104,5115
254,2h,Test,5116,5119
255,<6.7mmol/L,Test_Value,5119,5131
256,餐前血糖,Test,5145,5149
257,餐后血糖,Test,5153,5157
