,entity,label,start,end
0,2型糖尿病,Disease,363,368
1,2型糖尿病,Disease,2609,2614
2,2型糖尿病,Disease,13582,13587
3,动脉粥样硬化性心血管疾病,Disease,370,382
4,动脉粥样硬化性心血管疾病(ASCVD),Disease,487,506
5,冠心病,Disease,508,511
6,缺血性卒中,Disease,512,517
7,2型糖尿病(T2DM),Disease,526,538
8,糖尿病,Disease,556,559
9,高血糖,Reason,581,584
10,高血压,Reason,585,588
11,肥胖,Reason,594,596
12,心血管危险因素,Reason,599,606
13,恩格列净,Drug,720,725
14,利拉鲁肽,Drug,726,730
15,ASCVD,Disease,763,768
16,利拉鲁肽,Drug,859,863
17,恩格列净,Drug,864,869
18,"糖尿病,2型",Disease,880,886
19,动脉粥样硬化性心血管疾病,Disease,887,899
20,糖尿病,Disease,2491,2494
21,糖尿病,Disease,2538,2542
22,糖尿病,Disease,2579,2582
23,动脉粥样硬化性心血管疾病(ASCVD),Disease,2626,2645
24,冠心病,Disease,2647,2650
25,缺血性卒中,Disease,2651,2657
26,外周动脉疾病,Disease,2658,2664
27,ASCVD,Disease,2670,2675
28,糖尿病,Disease,2707,2710
29,ASCVD,Disease,2716,2721
30,ASCVD,Disease,2803,2808
31,ASCVD,Disease,2835,2840
32,ASCVD,Disease,2865,2870
33,ASCVD,Disease,2950,2955
34,冠心病,Disease,2985,2988
35,糖尿病,Disease,2995,2998
36,心血管疾病,Disease,3031,3036
37,脑血管疾病,Disease,3045,3050
38,冠心病,Disease,3080,3083
39,脑血管疾病,Disease,3091,3097
40,心血管疾病,Disease,3137,3142
41,缺血性卒中,Disease,3153,3158
42,脑血管疾病,Disease,3161,3166
43,ASCVD,Disease,3187,3192
44,糖尿病,Disease,3206,3209
45,ASCVD,Disease,3245,3250
46,高血糖,Reason,3262,3265
47,高血压,Reason,3278,3281
48,血脂异常,Reason,3282,3287
49,肥胖,Reason,3288,3290
50,心血管危险因素,Reason,3293,3300
51,ASCVD,Disease,3322,3327
52,心血管危险因素,Reason,3359,3366
53,高血压,Reason,3543,3546
54,高血糖,Reason,3547,3550
55,ASCVD,Reason,3554,3559
56,ASCVD,Disease,3603,3608
57,<140/80mmHg,Test_Value,3669,3680
58,白蛋白尿,Disease,3695,3699
59,糖尿病慢性肾脏病(CKD),Disease,3700,3714
60,<130mmHg,Test_Value,3725,3733
61,TG,Test,3845,3847
62,LDL-C,Test,3850,3855
63,HDL-C,Test,3858,3863
64,升高,Test_Value,3847,3849
65,升高,Test_Value,3855,3857
66,降低,Test_Value,3863,3865
67,ASCVD,Disease,3877,3882
68,ASCVD,Disease,3898,3903
69,LDL-C,Test,3925,3930
70,<1.8mmol/L,Test_Value,3934,3944
71,HDL-C,Test,3953,3958
72,<2.6mmol/L,Test_Value,3962,3972
73,他汀类药物,Drug,3986,3991
74,他汀类,Drug,3993,3996
75,他汀类,Drug,4019,4022
76,贝特类,Drug,4028,4031
77,高纯度鱼油制剂,Drug,4032,4039
78,严重高TG血症,Disease,4042,4049
79,空腹TG,Test,4051,4055
80,≥5.7mmol/L,Test_Value,4055,4065
81,贝特类,Drug,4076,4080
82,高纯度鱼油制剂,Drug,4081,4088
83,烟酸类,Drug,4089,4092
84,急性胰腺炎,Disease,4100,4106
85,ASCVD,Disease,4155,4160
86,阿司匹林,Drug,4176,4180
87,卒中,Disease,4185,4187
88,心肌梗死,Disease,4188,4192
89,心脑血管事件,Disease,4193,4200
90,ASCVD,Disease,4209,4214
91,阿司匹林,Drug,4223,4227
92,75~150mg/d,Amount,4241,4252
93,阿司匹林,Drug,4255,4259
94,氯吡格雷,Drug,4275,4279
95,75mg/d,Amount,4280,4286
96,急性冠状动脉综合征(ACS),Disease,4296,4311
97,阿司匹林,Drug,4317,4321
98,氯吡格雷,Drug,4323,4327
99,1年,Duration,4335,4337
100,超重,Reason,4354,4356
101,肥胖,Reason,4357,4359
102,胰岛素抵抗(IR),Reason,4367,4376
103,腹型肥胖,Reason,4360,4364
104,ASCVD,Disease,4379,4384
105,BMI,Test,4407,4410
106,<24kg/m2,Test_Value,4411,4419
107,体重指数,Test,4402,4406
108,腰围(WC,Test,4420,4425
109,<90cm,Test_Value,4430,4436
110,<85cm,Test_Value,4438,4443
111,胰岛素,Drug,4467,4470
112,磺脲类药物(SUs,Drug,4471,4480
113,噻唑烷二酮类(TZDs),Drug,4482,4495
114,二甲双胍,Drug,4503,4507
115,胰升糖素样肽1(GLP-1)受体激动剂,Drug,4527,4547
116,钠-葡萄糖协同转运蛋白2(SGLT-2)抑制剂,Drug,4548,4572
117,糖尿病,Disease,4659,4662
118,ASCVD,Disease,4663,4668
119,高血糖,Symptom,4682,4685
120,空腹血糖(FPG),Test,4690,4699
121,HBA1C,Test,4712,4717
122,升高,Test_Value,4718,4720
123,ASCVD,Disease,4723,4728
124,ASCVD,Disease,4749,4754
125,ASCVD,Disease,4794,4799
126,ASCVD,Disease,4823,4828
127,糖尿病,Disease,4885,4888
128,HBA1C,Test,4944,4949
129,<7.0%,Test_Value,4949,4954
130,糖尿病,Disease,4981,4984
131,糖尿病,Disease,5001,5004
132,糖尿病,Disease,5030,5033
133,血管疾病,Disease,5034,5038
134,ASCVD,Disease,5091,5096
135,ASCVD,Disease,5135,5140
136,低血糖,Disease,5153,5156
137,心律失常,Disease,5161,5165
138,心肌梗死,Disease,5166,5170
139,卒中,Disease,5171,5173
140,猝死,Disease,5174,5177
141,ASCVD,Disease,5247,5252
142,糖尿病,Disease,5283,5286
143,ASCVD,Disease,5289,5294
144,ASCVD,Disease,5358,5363
145,HBA1C,Test,5386,5391
146,<7.0%,Test_Value,5398,5403
147,低,Test_Value,5424,5425
148,HBA1C,Test,5436,5441
149,<7.5%,Test_Value,5447,5452
150,<8.0%,Test_Value,5454,5459
151,心功能Ⅲ-Ⅳ级,Level,5489,5496
152,终末期肾病,Disease,5497,5502
153,恶性肿瘤伴有转移,Disease,5503,5512
154,中重度认知功能障碍,Disease,5513,5522
155,HBA1C,Test,5524,5529
156,<8.5%,Test_Value,5540,5545
157,ASCVD,Disease,5555,5560
158,降糖药物,Drug,5573,5577
159,降糖药,Drug,5631,5634
160,降糖药物,Drug,5670,5674
161,降糖药物,Drug,5692,5696
162,降糖药物,Drug,5801,5805
163,降糖药物,Drug,5837,5841
164,二甲双胍UKPDS,Drug,5886,5896
165,二甲双胍,Drug,5901,5905
166,二甲双胍,Drug,5934,5938
167,心肌梗死,Disease,5966,5970
168,猝死,Disease,5971,5973
169,心绞痛,Disease,5974,5977
170,卒中,Disease,5978,5980
171,周围血管疾病,Disease,5981,5988
172,UKPDS,Drug,5992,5997
173,二甲双胍,Drug,6028,6032
174,超重,Reason,6014,6016
175,肥胖,Reason,6017,6019
176,利拉鲁肽LEADER,Drug,6046,6057
177,利拉鲁肽,Drug,6062,6066
178,利拉鲁肽,Drug,6109,6113
179,心力衰竭,Disease,6141,6145
180,恩格列净EMPA-REG,Drug,6150,6163
181,ASCVD,Disease,16979,16984
182,恩格列净,Drug,6176,6180
183,恩格列净,Drug,6214,6218
184,MACE,Disease,6122,6126
185,MACE,Disease,6227,6231
186,心力衰竭,Disease,6238,6243
187,罗格列酮RECORD,Drug,6252,6263
188,罗格列酮,Drug,6268,6272
189,二甲双胍,Drug,6273,6277
190,磺脲类,Drug,6278,6281
191,二甲双胍,Drug,6284,6288
192,磺脲类,Drug,6289,6292
193,二甲双胍,Drug,6294,6298
194,磺脲类,Drug,6299,6302
195,罗格列酮,Drug,6322,6326
196,心力衰竭,Drug,6364,6368
197,吡格列酮PROactive,Drug,6386,6400
198,吡格列酮,Drug,6405,6409
199,吡格列酮,Drug,6443,6447
200,非致死性心梗,Disease,6461,6467
201,卒中,Disease,6468,6471
202,ACS,Disease,6472,6475
203,MACE,Disease,6529,6533
204,PROactive,Drug,6538,6547
205,吡格列酮,Drug,6563,6567
206,甘精胰岛素ORIGIN,Drug,6593,6605
207,甘精胰岛素,Drug,6610,6615
208,甘精胰岛素,Drug,6642,6648
209,MACE,Disease,6652,6656
210,西格列汀TECOS,Drug,6666,6676
211,西格列汀,Drug,6681,6685
212,西格列汀,Drug,6719,6723
213,MACE,Disease,6736,6740
214,不稳定性心绞痛,Disease,6742,6750
215,心力衰竭,Disease,6767,6772
216,沙格列汀SAVOR-TIMI53,Drug,6777,6795
217,沙格列汀,Drug,6847,6851
218,MACE,Disease,6856,6860
219,心力衰竭,Disease,6874,6878
220,阿格列汀EXAMINE,Drug,6883,6895
221,阿格列汀,Drug,6900,6904
222,15~90d,Duration,6924,6930
223,ACS,Disease,6934,6937
224,阿格列汀,Drug,6947,6951
225,MACE,Disease,6956,6960
226,利司那肽ELIXA,Drug,6971,6981
227,利司那肽,Drug,6986,6990
228,180d,Duration,7010,7014
229,ACS,Disease,7018,7021
230,利司那肽,Drug,7031,7035
231,MACE,Disease,7047,7051
232,不稳定性心绞痛,Disease,7053,7061
233,心力衰竭,Disease,7078,7082
234,MACE,Disease,7087,7091
235,主要心血管不良事件,Disease,7092,7101
236,MACE,Disease,7105,7109
237,心血管死亡,Disease,7111,7116
238,非致死性心肌梗死,Disease,7117,7125
239,卒中,Disease,7126,7128
240,ACS:急性冠脉综合征,Disease,7129,7140
241,二甲双胍,Drug,7177,7182
242,恩格列净,Drug,7183,7187
243,利拉鲁肽,Drug,7188,7192
244,二甲双胍,Drug,7193,7197
245,超重,Disease,7268,7270
246,肥胖,Disease,7271,7273
247,二甲双胍,Drug,7310,7315
248,SUs,Drug,7334,7337
249,胰岛素,Drug,7338,7342
250,10.7年,Duration,7364,7370
251,二甲双胍,Drug,7384,7388
252,心肌梗死,Disease,7404,7408
253,心血管事件复合终点,Disease,7426,7435
254,心肌梗死,Disease,7436,7440
255,猝死,Disease,7441,7443
256,心绞痛,Disease,7444,7448
257,卒中,Disease,7449,7451
258,周围血管疾病,Disease,7452,7458
259,二甲双胍,Drug,7477,7481
260,心血管事件,Disease,7503,7508
261,二甲双胍,Drug,7545,7549
262,心肌梗死,Disease,7572,7577
263,SGLT-2抑制剂,Drug,7600,7609
264,恩格列净,Drug,7609,7613
265,恩格列净,Drug,7655,7659
266,心血管事件结局,Disease,7659,7666
267,3.1年,Duration,7722,7726
268,恩格列净,Drug,7749,7754
269,心血管不良事件,Disease,7765,7772
270,MACE,Disease,7777,7781
271,心血管死亡,Disease,7784,7789
272,非致死性心肌梗死,Disease,7790,7798
273,非致死性卒中,Disease,7800,7806
274,心血管死亡,Disease,7823,7829
275,心力衰竭,Disease,7846,7850
276,GLP-1受体激动剂,Drug,7869,7879
277,利拉鲁肽,Drug,7879,7883
278,利拉鲁肽,Drug,7921,7925
279,心血管疾病,Disease,7965,7971
280,心肌梗死,Disease,8009,8013
281,卒中,Disease,8014,8016
282,短暂性脑缺血发作,Disease,8017,8026
283,血运重建术,Operation,8029,8034
284,冠状动脉,Anatomy,8035,8039
285,颈动脉,Anatomy,8040,8044
286,下肢动脉,Anatomy,8045,8049
287,狭窄≥50%,Level,8049,8055
288,3.8年,Duration,8064,8069
289,利拉鲁肽,Drug,8092,8096
290,MACE,Disease,8102,8106
291,心血管死亡,Disease,8124,8129
292,心血管事件复合终点,Disease,8150,8159
293,心血管死亡,Disease,8160,8165
294,非致死性心肌梗死,Disease,8166,8175
295,非致死性卒中,Disease,8176,8182
296,血运重建,Operation,8183,8187
297,不稳定性心绞痛,Disease,8188,8195
298,心力衰竭,Disease,8199,8203
299,心力衰竭,Disease,8228,8232
300,恩格列净,Drug,8296,8300
301,利拉鲁肽,Drug,8301,8305
302,心血管,Anatomy,8306,8309
303,ASCVD,Disease,8330,8335
304,心血管,Anatomy,8360,8363
305,罗格列酮,Drug,8407,8411
306,吡格列酮,Drug,8412,8416
307,甘精胰岛素,Drug,8417,8423
308,西格列汀,Drug,8424,8428
309,沙格列汀,Drug,8429,8433
310,阿格列汀,Drug,8434,8438
311,利司那肽,Drug,8439,8443
312,罗格列酮,Drug,8447,8451
313,糖尿病,Disease,8452,8455
314,二甲双胍,Drug,8505,8509
315,SU,Drug,8510,8512
316,罗格列酮,Drug,8549,8553
317,SUs,Drug,8566,8569
318,双胍类,Drug,8570,8573
319,5.5年,Duration,8581,8585
320,二甲双胍,Drug,8593,8597
321,SUs,Drug,8599,8602
322,罗格列酮,Drug,8608,8612
323,二甲双胍,Drug,8614,8619
324,SUs,Drug,8620,8623
325,心血管终点事件,Disease,8627,8634
326,心力衰竭,Disease,8687,8691
327,吡格列酮,Drug,8732,8736
328,大血管,Anatomy,8737,8740
329,吡格列酮,Drug,8814,8818
330,心血管,Anatomy,8819,8822
331,心血管疾病,Disease,8798,8803
332,吡格列酮,Drug,8840,8844
333,34.5个月,Duration,8859,8865
334,吡格列酮,Drug,8879,8884
335,非致死性心肌梗死,Disease,8900,8909
336,卒中,Disease,8910,8912
337,ACS,Disease,8913,8916
338,冠状动脉,Anatomy,8917,8921
339,下肢动脉,Anatomy,8922,8926
340,血运重建,Operation,8927,8932
341,踝关节,Anatomy,8933,8936
342,下肢截肢,Operation,8939,8943
343,非致死性心肌梗死,Disease,9000,9008
344,卒中,Disease,9009,9011
345,7.8年,Duration,9051,9055
346,甘精胰岛素,Drug,9094,9099
347,IFG,Disease,9155,9158
348,IGT,Disease,9159,9162
