,entity,label,start,end
0,2型糖尿病,Disease,1076,1081
1,2型糖尿病,Disease,1110,1115
2,2型糖尿病,Disease,1844,1849
3,2型糖尿病,Disease,1976,1981
4,2型糖尿病,Disease,2010,2015
5,2型糖尿病,Disease,2131,2136
6,2型糖尿病,Disease,2182,2187
7,2型糖尿病,Disease,2260,2265
8,2型糖尿病,Disease,2317,2322
9,2型糖尿病,Disease,2353,2358
10,2型糖尿病,Disease,2517,2522
11,2型糖尿病,Disease,2590,2595
12,2型糖尿病,Disease,2715,2720
13,2型糖尿病,Disease,2769,2774
14,2型糖尿病,Disease,2831,2836
15,2型糖尿病,Disease,2877,2882
16,2型糖尿病,Disease,2934,2939
17,2型糖尿病,Disease,2986,2991
18,2型糖尿病,Disease,3151,3156
19,2型糖尿病,Disease,3186,3191
20,2型糖尿病,Disease,3264,3269
21,2型糖尿病,Disease,3341,3346
22,2型糖尿病,Disease,3376,3381
23,2型糖尿病,Disease,3510,3515
24,2型糖尿病,Disease,3547,3552
25,2型糖尿病,Disease,3677,3682
26,2型糖尿病,Disease,3714,3719
27,2型糖尿病,Disease,3779,3784
28,2型糖尿病,Disease,3859,3864
29,2型糖尿病,Disease,3930,3935
30,艾塞那肽,Drug,523,527
31,西格列汀,Drug,618,622
32,维格列汀,Drug,636,640
33,沙格列汀,Drug,656,660
34,阿格列汀,Drug,693,697
35,DPP-4i,Drug,1102,1108
36,DPP-4i,Drug,1065,1071
37,肠促胰素,Anatomy,252,256
38,肠促胰素,Anatomy,275,279
39,IBTs,Drug,360,364
40,GLP-1RA,Drug,512,519
41,肠促胰素,Anatomy,719,723
42,二甲双胍,Drug,1831,1835
43,二甲双胍,Drug,1861,1865
44,DPP-4i,Drug,1881,1887
45,DPP一4i,Drug,1901,1907
46,DPP-4i,Drug,1965,1971
47,DPP-4i,Drug,2002,2008
48,二甲双胍,Drug,2035,2039
49,糖化血红蛋白,Test,2053,2060
50,DPP-4i,Drug,2120,2126
51,DPP一4i,Drug,2174,2180
52,DPP一4i,Drug,2207,2213
53,DPP一4i,Drug,2237,2243
54,DPP-4i,Drug,2298,2304
55,基础胰岛素,Drug,2306,2311
56,DPP-4i,Drug,2338,2344
57,基础胰岛素,Drug,2346,2351
58,基础胰岛素,Drug,2376,2381
59,糖化血红蛋白,Test,2386,2392
60,DPP-4i,Drug,2408,2414
61,糖化血红蛋白,Test,2424,2431
62,胰岛素,Drug,2436,2439
63,DPP-4i,Drug,2464,2470
64,DPP一4i,Drug,2554,2560
65,DPP一4i,Drug,2579,2585
66,DPP一4i,Drug,2755,2761
67,DPP-4i,Drug,2665,2671
68,DPP-4i,Drug,2701,2707
69,DPP一4i,Drug,2737,2743
70,DPP-4i,Drug,2803,2809
71,心血管疾病,Disease,2816,2822
72,心血管事件风险,Disease,2823,2830
73,DPP一4i,Drug,2908,2914
74,GLP-1RA,Drug,3139,3146
75,GLP—lRA,Drug,3177,3184
76,GLP一1RA,Drug,3212,3219
77,GLP-1RA,Drug,3329,3336
78,GLP一1RA,Drug,3367,3374
79,GLP—IRA,Drug,3402,3409
80,GLP一1RA,Drug,3441,3448
81,GLP-1RA联合基础胰岛素,Drug,3490,3504
82,GLP—lRA,Drug,3939,3946
83,BMI,Test,3949,3952
84,ALT,Test,3953,3956
85,GLP—IRA,Drug,3963,3971
86,GLP一1RA,Drug,3880,3887
87,非酒精性脂肪肝,Disease,3891,3898
88,GLP—IRA,Drug,3698,3705
89,GLPIRA,Drug,3753,3760
90,GLP-1RA,Drug,3659,3666
91,糖化血红蛋白,Test,3619,3625
92,GLP一1RA,Drug,3601,3608
93,基础胰岛素,Drug,3570,3575
94,糖化血红蛋白,Test,3580,3586
95,GLP一1RA联合基础胰岛素,Drug,3531,3545
