char,label
评,O
中,O
国,O
成,O
人,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
胰,B-Drug
岛,I-Drug
素,I-Drug
促,I-Drug
泌,I-Drug
剂,I-Drug
应,O
用,O
专,O
家,O
共,O
识,O
"
",O
黄,O
李,O
 ,O
 ,O
童,O
南,O
伟,O
*,O
"
",O
四,O
川,O
大,O
学,O
华,O
西,O
医,O
院,O
内,O
分,O
泌,O
代,O
谢,O
科,O
 ,O
 ,O
(,O
成,O
都,O
 ,O
 ,O
6,O
1,O
0,O
0,O
4,O
1,O
),O
"
",O
【,O
 ,O
摘,O
要,O
 ,O
】,O
 ,O
中,O
国,O
成,O
人,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,O
病,O
理,O
生,O
理,O
特,O
点,O
与,O
欧,O
美,O
国,O
家,O
不,O
同,O
",",O
其,O
β,B-Anatomy
细,I-Anatomy
胞,I-Anatomy
胰,B-Reason
岛,I-Reason
素,I-Reason
分,I-Reason
泌,I-Reason
功,I-Reason
能,I-Reason
下,I-Reason
降,I-Reason
可,O
能,O
比,O
胰,B-Reason
岛,I-Reason
素,I-Reason
敏,I-Reason
感,I-Reason
性,I-Reason
降,I-Reason
低,I-Reason
更,O
明,O
显,O
。,O
因,B-Drug
"
",I-Drug
型,I-Drug
糖,I-Drug
尿,I-Drug
病,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
促,I-Drug
泌,I-Drug
剂,I-Drug
应,O
用,O
的,O
专,O
家,O
共,O
识,O
》,O
",",O
它,O
对,O
我,O
国,O
临,O
床,O
实,O
践,O
具,O
有,O
重,O
要,O
指,O
导,O
意,O
义,O
。,O
本,O
文,O
重,O
点,O
评,O
价,O
了,O
目,O
前,O
对,O
胰,B-Drug
岛,I-Drug
素,I-Drug
促,I-Drug
泌,I-Drug
剂,I-Drug
认,O
识,O
的,O
一,O
些,O
误,O
区,O
",",O
"
",O
比,O
如,O
低,O
血,B-Test
糖,I-Test
、,O
体,B-Test
重,I-Test
、,O
β,B-Anatomy
细,I-Anatomy
胞,I-Anatomy
功,O
能,O
及,O
心,O
血,O
管,O
安,O
全,O
性,O
等,O
问,O
题,O
。,O
"
",O
【,O
 ,O
关,O
键,O
词,O
 ,O
】,O
 ,O
胰,B-Drug
岛,I-Drug
素,I-Drug
促,I-Drug
泌,I-Drug
剂,I-Drug
;,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
;,O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
"
",O
【,O
 ,O
中,O
图,O
分,O
类,O
号,O
 ,O
】,O
 ,O
 ,O
 ,O
 ,O
R,O
9,O
7,O
7,O
.,O
1,O
5,O
 ,O
;,O
R,O
5,O
8,O
7,O
.,O
1,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
 ,O
【,O
文,O
献,O
标,O
志,O
码,O
】,O
 ,O
 ,O
 ,O
 ,O
A,O
"
",O
E,O
v,O
a,O
l,O
u,O
a,O
t,O
i,O
o,O
n,O
 ,O
o,O
f,O
 ,O
t,O
h,O
e,O
 ,O
E,O
x,O
p,O
e,O
r,O
t,O
 ,O
C,O
o,O
n,O
s,O
e,O
n,O
s,O
u,O
s,O
 ,O
o,O
n,O
 ,O
I,O
n,O
s,O
u,O
l,O
i,O
n,O
 ,O
S,O
e,O
c,O
r,O
e,O
t,O
a,O
g,O
o,O
g,O
u,O
e,O
s,O
 ,O
A,O
p,O
p,O
l,O
i,O
c,O
a,O
t,O
i,O
o,O
n,O
 ,O
i,O
n,O
 ,O
C,O
h,O
i,O
n,O
e,O
s,O
e,O
 ,O
A,O
d,O
u,O
l,O
t,O
s,O
 ,O
w,O
i,O
t,O
h,O
 ,O
T,O
y,O
p,O
e,O
 ,O
2,O
"
",O
D,O
i,O
a,O
b,O
e,O
t,O
e,O
s,O
 ,O
 ,O
 ,O
 ,O
H,O
u,O
a,O
n,O
g,O
-,O
l,O
i,O
",",O
 ,O
 ,O
T,O
o,O
n,O
g,O
 ,O
N,O
a,O
n,O
-,O
w,O
e,O
i,O
.,O
 ,O
D,O
i,O
v,O
i,O
s,O
i,O
o,O
n,O
 ,O
o,O
f,O
 ,O
E,O
n,O
d,O
o,O
c,O
r,O
i,O
n,O
o,O
l,O
o,O
g,O
y,O
 ,O
a,O
n,O
d,O
 ,O
M,O
e,O
t,O
a,O
b,O
o,O
l,O
i,O
s,O
m,O
",",O
W,O
e,O
s,O
t,O
 ,O
C,O
h,O
i,O
n,O
a,O
 ,O
H,O
o,O
s,O
p,O
i,O
t,O
a,O
l,O
 ,O
o,O
f,O
 ,O
S,O
i,O
c,O
h,O
u,O
a,O
n,O
 ,O
U,O
n,O
i,O
v,O
e,O
r,O
s,O
i,O
t,O
y,O
",",O
C,O
h,O
e,O
n,O
g,O
d,O
u,O
"
",O
6,O
1,O
0,O
0,O
4,O
1,O
",",O
 ,O
C,O
h,O
i,O
n,O
a,O
"
",O
【,O
 ,O
A,O
b,O
s,O
t,O
r,O
a,O
c,O
t,O
 ,O
】,O
 ,O
T,O
h,O
e,O
 ,O
p,O
a,O
t,O
h,O
o,O
p,O
h,O
y,O
s,O
i,O
o,O
l,O
o,O
g,O
i,O
c,O
 ,O
c,O
h,O
a,O
r,O
a,O
c,O
t,O
e,O
r,O
i,O
s,O
t,O
i,O
c,O
s,O
 ,O
o,O
f,O
 ,O
C,O
h,O
i,O
n,O
e,O
s,O
e,O
 ,O
a,O
d,O
u,O
l,O
t,O
s,O
 ,O
w,O
i,O
t,O
h,O
 ,O
t,O
y,O
p,O
e,O
 ,O
2,O
 ,O
d,O
i,O
a,O
b,O
e,O
t,O
e,O
s,O
(,O
T,O
2,O
D,O
),O
 ,O
a,O
r,O
e,O
 ,O
d,O
i,O
f,O
f,O
e,O
r,O
e,O
n,O
t,O
 ,O
f,O
r,O
o,O
m,O
 ,O
t,O
h,O
o,O
s,O
e,O
 ,O
o,O
f,O
 ,O
p,O
a,O
t,O
i,O
e,O
n,O
t,O
s,O
 ,O
f,O
r,O
o,O
m,O
"
",O
t,O
h,O
e,O
 ,O
E,O
u,O
r,O
o,O
p,O
e,O
a,O
n,O
 ,O
a,O
n,O
d,O
 ,O
A,O
m,O
e,O
r,O
i,O
c,O
a,O
n,O
",",O
 ,O
r,O
e,O
d,O
u,O
c,O
t,O
i,O
o,O
n,O
 ,O
o,O
f,O
 ,O
i,O
n,O
s,O
u,O
l,O
i,O
n,O
 ,O
s,O
e,O
c,O
r,O
e,O
t,O
i,O
o,O
n,O
 ,O
f,O
u,O
n,O
c,O
t,O
i,O
o,O
n,O
 ,O
m,O
a,O
y,O
 ,O
b,O
e,O
 ,O
m,O
o,O
r,O
e,O
 ,O
s,O
e,O
v,O
e,O
r,O
e,O
 ,O
c,O
o,O
m,O
p,O
a,O
r,O
e,O
d,O
 ,O
t,O
o,O
 ,O
t,O
h,O
e,O
 ,O
d,O
e,O
c,O
r,O
e,O
a,O
s,O
e,O
 ,O
o,O
f,O
 ,O
i,O
n,O
s,O
u,O
l,O
i,O
n,O
 ,O
s,O
e,O
n,O
s,O
i,O
t,O
i,O
v,O
i,O
t,O
y,O
.,O
"
",O
T,O
h,O
e,O
r,O
e,O
f,O
o,O
r,O
e,O
",",O
 ,O
i,O
n,O
s,O
u,O
l,O
i,O
n,O
 ,O
s,O
e,O
c,O
r,O
e,O
t,O
a,O
g,O
o,O
g,O
u,O
e,O
s,O
 ,O
a,O
r,O
e,O
 ,O
s,O
u,O
i,O
t,O
a,O
b,O
l,O
e,O
 ,O
f,O
o,O
r,O
 ,O
C,O
h,O
i,O
n,O
e,O
s,O
e,O
 ,O
T,O
2,O
D,O
.,O
T,O
h,O
e,O
 ,O
e,O
x,O
p,O
e,O
r,O
t,O
 ,O
c,O
o,O
n,O
s,O
e,O
n,O
s,O
u,O
s,O
 ,O
o,O
n,O
