char,label
糖,O
尿,O
病,O
相,O
关,O
议,O
题,O
"
",O
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
治,O
疗,O
妊,B-Disease
娠,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,O
系,O
统,O
评,O
价,O
"
",O
谢,O
敏,O
 ,O
 ,O
李,O
竞,O
"
",O
[,O
摘,O
要,O
],O
 ,O
 ,O
 ,O
目,O
的,O
 ,O
 ,O
系,O
统,O
评,O
价,O
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
治,O
疗,O
妊,B-Disease
娠,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,O
有,O
效,O
性,O
及,O
安,O
全,O
性,O
。,O
 ,O
方,O
法,O
 ,O
网,O
络,O
检,O
索,O
 ,O
C,O
o,O
c,O
h,O
r,O
a,O
n,O
e,O
"
",O
C,O
e,O
n,O
t,O
r,O
a,O
l,O
 ,O
R,O
e,O
g,O
i,O
s,O
t,O
e,O
r,O
 ,O
o,O
f,O
 ,O
C,O
o,O
n,O
t,O
r,O
o,O
l,O
l,O
e,O
d,O
 ,O
T,O
r,O
i,O
a,O
l,O
s,O
 ,O
(,O
C,O
E,O
N,O
T,O
R,O
A,O
L,O
),O
、,O
M,O
e,O
d,O
l,O
i,O
n,O
e,O
、,O
E,O
M,O
B,O
A,O
S,O
E,O
、,O
S,O
c,O
i,O
e,O
n,O
c,O
e,O
 ,O
C,O
i,O
t,O
a,O
t,O
i,O
o,O
n,O
 ,O
I,O
n,O
d,O
e,O
x,O
、,O
C,O
N,O
K,O
I,O
、,O
V,O
I,O
P,O
、,O
W,O
a,O
n,O
f,O
a,O
n,O
g,O
"
",O
等,O
数,O
据,O
库,O
",",O
检,O
索,O
时,O
间,O
均,O
为,O
建,O
库,O
至,O
 ,O
2,O
0,O
1,O
3,O
 ,O
年,O
 ,O
3,O
 ,O
月,O
。,O
 ,O
筛,O
选,O
用,O
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
治,O
疗,O
妊,B-Disease
娠,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,O
临,O
床,O
随,O
机,O
对,O
照,O
试,O
验,O
"
",O
(,O
r,O
a,O
n,O
d,O
o,O
m,O
i,O
z,O
e,O
d,O
 ,O
c,O
o,O
n,O
t,O
r,O
o,O
l,O
l,O
e,O
d,O
 ,O
t,O
r,O
i,O
a,O
l,O
",",O
R,O
C,O
T,O
),O
",",O
同,O
时,O
追,O
索,O
纳,O
入,O
文,O
献,O
的,O
参,O
考,O
文,O
献,O
。,O
 ,O
根,O
据,O
 ,O
G,O
R,O
A,O
D,O
E,O
 ,O
系,O
统,O
推,O
荐,O
分,O
级,O
方,O
法,O
",",O
对,O
纳,O
"
",O
入,O
研,O
究,O
的,O
质,O
量,O
进,O
行,O
严,O
格,O
评,O
价,O
和,O
资,O
料,O
提,O
取,O
",",O
对,O
符,O
合,O
质,O
量,O
标,O
准,O
的,O
 ,O
R,O
C,O
T,O
 ,O
进,O
行,O
 ,O
m,O
e,O
t,O
a,O
 ,O
分,O
析,O
。,O
 ,O
统,O
计,O
学,O
分,O
析,O
采,O
用,O
 ,O
R,O
e,O
v,O
-,O
"
",O
M,O
a,O
n,O
5,O
.,O
 ,O
1,O
 ,O
软,O
件,O
和,O
 ,O
G,O
R,O
A,O
D,O
E,O
p,O
r,O
o,O
f,O
i,O
l,O
e,O
r,O
 ,O
3,O
.,O
 ,O
2,O
.,O
 ,O
2,O
 ,O
软,O
件,O
。,O
 ,O
结,O
果,O
 ,O
共,O
纳,O
入,O
 ,O
5,O
 ,O
个,O
 ,O
R,O
C,O
T,O
。,O
 ,O
发,O
现,O
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
与,O
单,O
用,O
胰,B-Drug
岛,I-Drug
素,I-Drug
治,O
疗,O
在,O
"
",O
有,O
效,O
性,O
(,O
如,O
母,O
体,O
餐,B-Test
后,I-Test
血,I-Test
糖,I-Test
、,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
),O
及,O
不,O
良,O
围,O
生,O
期,O
结,O
局,O
(,O
如,O
孕,O
妇,O
体,B-Test
重,I-Test
的,O
变,O
化,O
、,O
剖,B-Disease
腹,I-Disease
产,I-Disease
率,O
、,O
母,O
体,O
低,B-Disease
血,I-Disease
糖,I-Disease
发,O
生,O
率,O
、,O
"
",O
新,B-Test
