char,label
围,O
术,O
期,O
血,B-Test
糖,I-Test
管,O
理,O
专,O
家,O
共,O
识,O
(,O
快,O
捷,O
版,O
),O
"
",O
中,O
华,O
医,O
学,O
会,O
麻,O
醉,O
学,O
分,O
会,O
"
",O
血,B-Test
糖,I-Test
异,B-Level
常,I-Level
增,I-Level
高,I-Level
是,O
围,O
术,O
期,O
的,O
常,O
见,O
问,O
题,O
。,O
一,O
方,O
面,O
",",O
手,B-Operation
术,I-Operation
创,O
伤,O
"
",O
应,O
激,O
诱,O
发,O
机,O
体,O
分,O
泌,O
儿,B-Test
茶,I-Test
酚,I-Test
胺,I-Test
、,O
皮,B-Test
质,I-Test
醇,I-Test
和,O
炎,B-Test
性,I-Test
介,I-Test
质,I-Test
等,O
胰,B-Test
岛,I-Test
素,I-Test
拮,I-Test
"
",I-Test
抗,I-Test
因,I-Test
子,I-Test
",",O
促,O
使,O
血,B-Test
糖,I-Test
增,I-Test
高,I-Test
[,O
1,O
],O
。,O
另,O
一,O
方,O
面,O
",",O
合,O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
、,O
代,B-Disease
谢,I-Disease
综,I-Disease
合,I-Disease
"
",I-Disease
征,I-Disease
等,O
胰,B-Disease
岛,I-Disease
素,I-Disease
抵,I-Disease
抗,I-Disease
或,I-Disease
胰,I-Disease
岛,I-Disease
素,I-Disease
分,I-Disease
泌,I-Disease
障,I-Disease
碍,I-Disease
疾,I-Disease
病,I-Disease
的,O
患,O
者,O
更,O
容,O
易,O
发,O
生,O
"
",O
围,B-Disease
术,I-Disease
期,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
。,O
另,O
外,O
",",O
围,O
术,O
期,O
经,O
常,O
使,O
用,O
的,O
激,B-Drug
素,I-Drug
、,O
含,B-Drug
糖,I-Drug
营,I-Drug
养,I-Drug
液,I-Drug
"
",O
等,O
进,O
一,O
步,O
增,B-Level
加,I-Level
了,O
高,B-Test
血,I-Test
糖,I-Test
的,O
风,O
险,O
。,O
值,O
得,O
注,O
意,O
的,O
是,O
",",O
长,O
时,O
间,O
禁,O
食,O
"
",O
和,O
不,O
恰,O
当,O
的,O
降,B-Treatment
糖,I-Treatment
治,I-Treatment
疗,I-Treatment
也,O
有,O
引,O
起,O
患,O
者,O
低,B-Test
血,I-Test
糖,I-Test
和,O
血,B-Test
糖,I-Test
剧,I-Test
烈,I-Test
波,I-Test
动,I-Test
"
",O
的,O
可,O
能,O
。,O
"
",O
大,O
量,O
证,O
据,O
表,O
明,O
",",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
异,I-Test
常,I-Test
(,O
包,O
括,O
高,B-Test
血,I-Test
糖,I-Test
、,O
低,B-Test
血,I-Test
糖,I-Test
和,O
"
",O
血,B-Test
糖,I-Test
波,I-Test
动,I-Test
),O
增,O
加,O
手,O
术,O
患,O
者,O
的,O
死,B-Disease
亡,I-Disease
率,O
",",O
增,O
加,O
感,B-Disease
染,I-Disease
、,O
伤,B-Disease
口,I-Disease
不,I-Disease
愈,I-Disease
合,I-Disease
以,O
"
",O
及,O
心,B-Disease
脑,I-Disease
血,I-Disease
管,I-Disease
事,I-Disease
件,I-Disease
等,O
并,O
发,O
症,O
的,O
发,O
生,O
率,O
",",O
延,O
长,O
住,O
院,O
时,O
间,O
",",O
影,O
响,O
远,O
"
",O
期,O
预,O
后,O
[,O
1,O
’,O
2,O
],O
。,O
合,O
理,O
的,O
血,B-Treatment
糖,I-Treatment
监,I-Treatment
测,I-Treatment
和,I-Treatment
调,I-Treatment
控,I-Treatment
是,O
围,O
术,O
期,O
管,O
理,O
的,O
重,O
要,O
"
",O
组,O
成,O
部,O
分,O
",",O
应,O
当,O
得,O
到,O
重,O
视,O
。,O
"
",O
据,O
此,O
",",O
中,O
华,O
医,O
学,O
会,O
麻,O
