char,label
员,O
。,O
 ,O
主,O
要,O
从,O
事,O
甲,B-Disease
状,I-Disease
腺,I-Disease
癌,I-Disease
和,O
甲,B-Anatomy
状,I-Anatomy
腺,I-Anatomy
自,O
身,O
免,O
疫,O
相,O
关,O
研,O
究,O
。,O
 ,O
承,O
担,O
国,O
家,O
自,O
然,O
科,O
学,O
基,O
金,O
 ,O
1,O
 ,O
项,O
",",O
以,O
第,O
一,O
作,O
者,O
在,O
 ,O
J,O
 ,O
C,O
l,O
i,O
n,O
 ,O
E,O
n,O
d,O
o,O
c,O
r,O
i,O
n,O
o,O
l,O
 ,O
M,O
e,O
t,O
a,O
b,O
 ,O
等,O
期,O
刊,O
发,O
表,O
论,O
文,O
"
",O
多,O
篇,O
。,O
"
",O
基,O
于,O
肠,B-Anatomy
促,I-Anatomy
胰,I-Anatomy
素,I-Anatomy
治,O
疗,O
药,O
物,O
临,O
床,O
应,O
用,O
的,O
快,O
速,O
"
",O
建,O
议,O
指,O
南,O
"
",O
前,O
 ,O
 ,O
言,O
"
",O
肠,B-Anatomy
促,I-Anatomy
胰,I-Anatomy
素,I-Anatomy
(,O
 ,O
i,O
n,O
c,O
r,O
e,O
t,O
i,O
n,O
),O
是,O
一,O
种,O
经,O
食,O
物,O
刺,O
激,O
后,O
由,O
肠,B-Anatomy
道,I-Anatomy
"
",I-Anatomy
细,I-Anatomy
胞,I-Anatomy
分,O
泌,O
入,O
血,O
、,O
能,O
够,O
刺,O
激,O
胰,O
岛,O
素,O
分,O
泌,O
的,O
激,O
素,O
[,O
1,O
],O
。,O
 ,O
基,O
于,O
"
",O
肠,B-Anatomy
促,I-Anatomy
胰,I-Anatomy
素,I-Anatomy
的,O
治,O
疗,O
药,O
物,O
(,O
i,O
n,O
c,O
r,O
e,O
t,O
i,O
n,O
 ,O
b,O
a,O
s,O
e,O
d,O
 ,O
t,O
h,O
e,O
r,O
a,O
p,O
i,O
e,O
s,O
",",O
 ,O
I,B-Drug
B,I-Drug
T,I-Drug
s,I-Drug
),O
通,O
"
",O
过,O
与,O
器,O
官,O
上,O
的,O
特,O
异,O
性,O
受,O
体,O
结,O
合,O
",",O
从,O
而,O
发,O
挥,O
其,O
降,O
糖,O
作,O
"
",O
用,O
。,O
 ,O
由,O
于,O
这,O
类,O
药,O
物,O
具,O
有,O
低,O
血,B-Test
糖,I-Test
风,O
险,O
小,O
和,O
改,O
善,O
胰,B-Anatomy
岛,I-Anatomy
细,I-Anatomy
"
",I-Anatomy
胞,I-Anatomy
