char,label
临,O
床,O
研,O
究,O
"
",O
武,O
传,O
龙,O
、,O
吴,O
家,O
慧,O
、,O
郑,O
会,O
珍,O
、,O
马,O
爱,O
霞,O
、,O
龚,O
蕾,O
、,O
刘,O
福,O
强,O
、,O
林,O
鹏,O
、,O
宋,O
君,O
、,O
侯,O
新,O
国,O
、,O
陈,O
"
",O
丽,O
),O
;,O
中,O
国,O
重,O
汽,O
医,O
院,O
(,O
马,O
泽,O
强,O
),O
;,O
济,O
宁,O
市,O
山,O
推,O
社,O
区,O
卫,O
生,O
中,O
心,O
(,O
张,O
秀,O
平,O
、,O
姜,O
"
",O
梅,O
),O
"
",O
山,O
东,O
省,O
 ,O
4,O
0,O
 ,O
岁,O
以,O
上,O
社,O
区,O
人,O
群,O
亚,B-Disease
临,I-Disease
床,I-Disease
甲,I-Disease
状,I-Disease
腺,I-Disease
功,I-Disease
能,I-Disease
减,I-Disease
退,I-Disease
症,I-Disease
的,O
"
",O
流,O
行,O
病,O
学,O
研,O
究,O
"
",O
孙,O
宇,O
 ,O
 ,O
梁,O
凯,O
 ,O
 ,O
马,O
泽,O
强,O
 ,O
 ,O
张,O
秀,O
平,O
 ,O
 ,O
姜,O
梅,O
 ,O
 ,O
武,O
传,O
龙,O
 ,O
 ,O
吴,O
家,O
慧,O
 ,O
 ,O
郑,O
会,O
珍,O
 ,O
 ,O
马,O
爱,O
霞,O
 ,O
 ,O
龚,O
蕾,O
 ,O
 ,O
刘,O
福,O
强,O
"
",O
林,O
鹏,O
 ,O
 ,O
宋,O
君,O
 ,O
 ,O
侯,O
新,O
国,O
 ,O
 ,O
陈,O
丽,O
"
",O
[,O
提,O
要,O
],O
 ,O
 ,O
 ,O
本,O
研,O
究,O
通,O
过,O
对,O
 ,O
1,O
 ,O
9,O
6,O
7,O
 ,O
名,O
 ,O
4,O
0,O
 ,O
岁,O
以,O
上,O
社,O
区,O
常,O
住,O
居,O
民,O
进,O
行,O
甲,B-Test
状,I-Test
腺,I-Test
功,I-Test
能,I-Test
检,O
测,O
",",O
发,O
现,O
亚,B-Disease
临,I-Disease
床,I-Disease
甲,I-Disease
状,I-Disease
腺,I-Disease
功,I-Disease
"
",I-Disease
能,I-Disease
减,I-Disease
退,I-Disease
(,O
甲,B-Disease
减,I-Disease
),O
的,O
患,O
病,O
率,O
为,O
 ,O
7,O
.,O
 ,O
4,O
%,O
 ,O
",",O
其,O
中,O
男,O
性,O
 ,O
4,O
.,O
 ,O
7,O
%,O
 ,O
",",O
女,O
性,O
 ,O
9,O
.,O
 ,O
1,O
%,O
 ,O
",",O
女,O
性,O
患,O
病,O
率,O
显,O
著,O
高,O
于,O
男,O
性,O
(,O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
。,O
 ,O
亚,B-Disease
临,I-Disease
"
",I-Disease
床,I-Disease
甲,I-Disease
减,I-Disease
组,O
空,B-Test
腹,I-Test
胰,I-Test
岛,I-Test
素,I-Test
、,O
稳,B-Test
态,I-Test
模,I-Test
型,I-Test
评,I-Test
估,I-Test
的,I-Test
胰,I-Test
岛,I-Test
素,I-Test
抵,I-Test
抗,I-Test
指,I-Test
数,I-Test
、,O
血,B-Test
肌,I-Test
酐,I-Test
均,O
高,O
于,O
甲,B-Test
状,I-Test
腺,I-Test
功,I-Test
能,I-Test
正,B-Test_Value
常,I-Test_Value
组,O
(,O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
。,O
 ,O
亚,B-Disease
"
",I-Disease
临,I-Disease
床,I-Disease
甲,I-Disease
减,I-Disease
组,O
超,B-Disease
重,I-Disease
或,O
肥,B-Disease
胖,I-Disease
患,O
病,O
率,O
高,O
于,O
甲,B-Test
状,I-Test
腺,I-Test
功,I-Test
能,I-Test
正,B-Test_Value
常,I-Test_Value
组,O
(,O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
",",O
两,O
组,O
代,B-Disease
谢,I-Disease
综,I-Disease
合,I-Disease
征,I-Disease
患,O
病,O
率,O
差,O
异,O
无,O
统,O
计,O
学,O
意,O
"
",O
义,O
。,O
 ,O
L,O
o,O
g,O
i,O
s,O
t,O
i,O
c,O
 ,O
回,O
归,O
分,O
析,O
发,O
现,O
性,B-Reason
别,I-Reason
(,O
O,O
R,O
 ,O
=,O
 ,O
1,O
.,O
 ,O
9,O
8,O
1,O
",",O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
、,O
H,B-Test
O,I-Test
M,I-Test
A,I-Test
-,I-Test
I,I-Test
R,I-Test
(,O
O,O
R,O
 ,O
=,O
 ,O
1,O
.,O
 ,O
0,O
3,O
7,O
",",O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
、,O
血,B-Test
肌,I-Test
酐,I-Test
(,O
O,O
R,O
 ,O
=,O
"
",O
1,O
.,O
 ,O
0,O
1,O
3,O
",",O
P,O
<,O
0,O
.,O
 ,O
0,O
5,O
),O
是,O
亚,B-Disease
临,I-Disease
床,I-Disease
甲,I-Disease
减,I-Disease
的,O
独,O
立,O
相,O
关,O
因,O
素,O
。,O
"
",O
[,O
关,O
键,O
词,O
],O
 ,O
 ,O
 ,O
社,O
区,O
人,O
群,O
;,O
 ,O
亚,B-Disease
临,I-Disease
床,I-Disease
甲,I-Disease
状,I-Disease
腺,I-Disease
功,I-Disease
能,I-Disease
减,I-Disease
退,I-Disease
症,O
;,O
 ,O
流,O
行,O
病,O
学,O
;,O
代,B-Disease
谢,I-Disease
综,I-Disease
合,I-Disease
征,I-Disease
"
",O
A,O
