char,label
内,O
分,O
泌,O
疾,O
病,O
管,O
理,O
继,O
续,O
教,O
育,O
"
",O
基,O
金,O
项,O
目,O
:,O
中,O
华,O
医,O
学,O
会,O
临,O
床,O
医,O
学,O
科,O
研,O
专,O
项,O
资,O
金,O
项,O
目,O
(,O
1,O
3,O
0,O
6,O
1,O
0,O
6,O
0,O
4,O
9,O
1,O
),O
"
",O
院,O
内,O
分,O
泌,O
科,O
"
",O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
的,O
无,O
药,O
缓,O
解,O
治,O
疗,O
及,O
机,O
制,O
研,O
究,O
"
",O
阎,O
德,O
文,O
 ,O
 ,O
何,O
新,O
连,O
 ,O
 ,O
陈,O
国,O
娟,O
"
",O
[,O
提,O
要,O
],O
 ,O
 ,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
是,O
以,O
慢,B-Symptom
性,I-Symptom
高,I-Symptom
血,I-Symptom
糖,I-Symptom
为,O
特,O
征,O
的,O
终,B-Disease
身,I-Disease
性,I-Disease
代,I-Disease
谢,I-Disease
性,I-Disease
疾,I-Disease
病,I-Disease
",",O
目,O
前,O
虽,O
然,O
无,O
法,O
根,O
治,O
",",O
但,O
可,O
以,O
通,O
过,O
某,O
"
",O
些,O
治,O
疗,O
方,O
式,O
达,O
到,O
“,O
缓,O
解,O
冶,O
—,O
—,O
—,O
即,O
无,O
需,O
用,O
药,O
而,O
血,B-Test
糖,I-Test
正,O
常,O
状,O
态,O
。,O
 ,O
2,O
0,O
0,O
9,O
 ,O
年,O
美,O
国,O
糖,B-Disease
尿,I-Disease
病,I-Disease
学,O
会,O
(,O
A,O
D,O
A,O
),O
专,O
家,O
共,O
识,O
及,O
"
",O
2,O
0,O
1,O
2,O
 ,O
年,O
 ,O
A,O
D,O
A,O
 ,O
糖,B-Disease
尿,I-Disease
病,I-Disease
医,O
学,O
诊,O
疗,O
标,O
准,O
中,O
提,O
出,O
了,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
缓,O
解,O
的,O
定,O
义,O
和,O
标,O
准,O
。,O
 ,O
迄,O
今,O
国,O
内,O
外,O
对,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
缓,O
"
",O
解,O
的,O
标,O
准,O
、,O
时,O
间,O
等,O
尚,O
未,O
统,O
一,O
。,O
 ,O
本,O
文,O
对,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
缓,O
解,O
治,O
疗,O
的,O
定,O
义,O
与,O
标,O
准,O
、,O
缓,O
解,O
机,O
制,O
、,O
手,O
段,O
及,O
影,O
响,O
因,O
素,O
进,O
行,O
"
",O
综,O
述,O
",",O
根,O
据,O
缓,O
解,O
机,O
制,O
提,O
出,O
新,O
三,O
联,O
缓,O
解,O
治,O
疗,O
策,O
略,O
",",O
以,O
期,O
探,O
求,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
长,O
期,O
无,O
药,O
缓,O
解,O
的,O
最,O
佳,O
方,O
案,O
。,O
"
",O
[,O
关,O
键,O
词,O
],O
 ,O
 ,O
 ,O
糖,O
尿,O
病,O
",",O
 ,O
2,O
 ,O
型,O
;,O
 ,O
缓,O
解,O
治,O
疗,O
"
",O
R,O
e,O
m,O
i,O
s,O
s,O
i,O
o,O
n,O
 ,O
t,O
h,O
e,O
r,O
a,O
p,O
i,O
e,O
s,O
 ,O
w,O
i,O
t,O
h,O
o,O
u,O
t,O
 ,O
d,O
r,O
u,O
g,O
s,O
 ,O
o,O
f,O
 ,O
t,O
y,O
p,O
e,O
 ,O
2,O
 ,O
d,O
i,O
a,O
b,O
e,O
t,O
e,O
s,O
 ,O
m,O
e,O
l,O
l,O
i,O
t,O
u,O
s,O
 ,O
a,O
n,O
d,O
 ,O
i,O
t,O
s,O
 ,O
m,O
e,O
c,O
h,O
a,O
n,O
i,O
s,O
m,O
 ,O
r,O
e,O
s,O
e,O
a,O
r,O
c,O
h,O
 ,O
p,O
r,O
o,O
g,O
r,O
e,O
s,O
s,O
 ,O
Y,O
a,O
n,O
"
",O
D,O
e,O
w,O
e,O
n,O
",",O
 ,O
H,O
e,O
 ,O
X,O
i,O
n,O
l,O
i,O
a,O
n,O
",",O
 ,O
C,O
h,O
e,O
n,O
 ,O
G,O
u,O
o,O
j,O
u,O
a,O
n,O
.,O
 ,O
D,O
i,O
a,O
b,O
e,O
t,O
e,O
s,O
",",O
 ,O
O,O
b,O
e,O
s,O
i,O
t,O
y,O
",",O
