char,label
通,B-SideEff
讯,I-SideEff
作,O
者,O
:,O
母,O
义,O
明,O
",",O
男,O
",",O
主,O
任,O
医,O
师,O
",",O
教,O
授,O
、,O
博,O
士,O
生,O
导,O
"
",O
师,O
。,O
现,O
任,O
解,O
放,O
军,O
总,O
医,O
院,O
内,O
分,O
泌,O
科,O
主,O
任,O
、,O
中,O
华,O
"
",O
6,O
8,O
1,O
8,O
2,O
2,O
5,O
5,O
;,O
E,O
-,O
m,O
a,O
i,O
l,O
:,O
m,O
u,O
y,O
i,O
m,O
i,O
n,O
g,O
@,O
3,O
0,O
1,O
h,O
o,O
s,O
p,O
i,O
t,O
a,O
l,O
.,O
c,O
o,O
m,O
.,O
c,O
n,O
"
",O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
仍,O
是,O
目,O
前,O
糖,B-Disease
尿,I-Disease
病,I-Disease
治,O
疗,O
领,O
域,O
应,O
用,O
最,O
为,O
广,O
泛,O
的,O
口,O
服,O
降,O
糖,O
药,O
物,O
之,O
一,O
",",O
并,O
且,O
在,O
"
",O
国,O
内,O
外,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
(,O
t,O
y,O
p,O
e,O
 ,O
2,O
 ,O
d,O
i,O
a,O
b,O
e,O
t,O
e,O
s,O
 ,O
m,O
e,O
l,O
l,O
i,O
t,O
u,O
s,O
",",O
 ,O
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
),O
指,O
"
",O
南,O
中,O
占,O
据,O
着,O
非,O
常,O
重,O
要,O
的,O
治,O
疗,O
地,O
位,O
。,O
长,O
期,O
的,O
临,O
床,O
应,O
用,O
"
",O
和,O
大,O
量,O
的,O
循,O
证,O
医,O
学,O
证,O
据,O
均,O
表,O
明,O
",",O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
不,O
仅,O
降,O
"
",O
糖,O
作,O
用,O
强,O
",",O
还,O
可,O
减,O
少,O
或,O
延,O
缓,O
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
慢,I-Disease
性,I-Disease
并,I-Disease
发,I-Disease
症,I-Disease
的,O
发,O
"
",O
生,O
",",O
特,O
别,O
是,O
微,B-Disease
血,I-Disease
管,I-Disease
并,I-Disease
发,I-Disease
症,I-Disease
。,O
不,O
同,O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,O
分,O
子,O
"
",O
结,O
构,O
、,O
药,O
代,O
/,O
药,O
效,O
动,O
力,O
学,O
以,O
及,O
剂,O
型,O
存,O
在,O
差,O
异,O
",",O
其,O
疗,O
"
",O
效,O
和,O
安,O
全,O
性,O
也,O
有,O
所,O
不,O
同,O
。,O
为,O
进,O
一,O
步,O
提,O
高,O
临,O
床,O
医,O
生,O
对,O
"
",O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,O
认,O
识,O
",",O
更,O
好,O
地,O
指,O
导,O
临,O
床,O
合,O
理,O
用,O
药,O
",",O
"
",O
内,O
分,O
泌,O
专,O
家,O
基,O
于,O
循,O
证,O
医,O
学,O
证,O
据,O
的,O
进,O
展,O
",",O
对,O
2,O
0,O
0,O
4,O
年,O
版,O
"
",O
《,O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
临,O
床,O
应,O
用,O
专,O
家,O
共,O
识,O
》,O
进,O
行,O
了,O
更,O
新,O
。,O
新,O
"
",O
版,O
共,O
识,O
采,O
用,O
问,O
答,O
的,O
形,O
式,O
阐,O
明,O
了,O
当,O
前,O
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,O
临,O
"
",O
床,O
