char,label
基,O
层,O
糖,O
尿,O
病,O
微,O
血,O
管,O
病,O
变,O
筛,O
查,O
与,O
防,O
治,O
专,O
家,O
共,O
识,O
"
",O
中,O
国,O
微,O
循,O
环,O
学,O
会,O
糖,O
尿,O
病,O
与,O
微,O
循,O
环,O
专,O
业,O
委,O
员,O
会,O
"
",O
基,O
金,O
项,O
目,O
:,O
国,O
家,O
重,O
点,O
研,O
发,O
计,O
划,O
资,O
助,O
(,O
2,O
0,O
1,O
6,O
Y,O
F,O
C,O
1,O
3,O
0,O
5,O
7,O
0,O
0,O
),O
"
",O
通,O
讯,O
作,O
者,O
:,O
孙,O
子,O
林,O
 ,O
E,O
-,O
m,O
a,O
i,O
l,O
:,O
s,O
u,O
n,O
z,O
i,O
l,O
i,O
n,O
1,O
9,O
6,O
3,O
@,O
1,O
2,O
6,O
.,O
c,O
o,O
m,O
"
",O
随,O
着,O
人,O
们,O
生,O
活,O
方,O
式,O
的,O
改,O
变,O
和,O
社,O
会,O
人,O
口,O
老,O
龄,O
化,O
进,O
"
",O
程,O
的,O
加,O
剧,O
",",O
糖,B-Disease
尿,I-Disease
病,I-Disease
正,O
成,O
为,O
一,O
种,O
全,O
球,O
范,O
围,O
内,O
的,O
慢,O
性,O
流,O
"
",O
行,O
性,O
疾,O
病,O
。,O
据,O
国,O
际,O
糖,O
尿,O
病,O
联,O
盟,O
估,O
计,O
",",O
至,O
 ,O
2,O
0,O
3,O
0,O
年,O
",",O
"
",O
世,O
界,O
范,O
围,O
内,O
 ,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
数,O
量,O
将,O
达,O
到,O
 ,O
5,O
.,O
9,O
2,O
亿,O
 ,O
[,O
1,O
],O
。,O
"
",O
糖,B-Disease
尿,I-Disease
病,I-Disease
的,O
管,O
理,O
不,O
仅,O
要,O
实,O
现,O
理,O
想,O
的,O
血,B-Test
糖,I-Test
控,O
制,O
",",O
更,O
要,O
通,O
"
",O
过,O
良,O
好,O
的,O
代,O
谢,O
控,O
制,O
达,O
到,O
预,O
防,O
慢,O
性,O
并,O
发,O
症,O
、,O
提,O
高,O
患,O
者,O
"
",O
生,O
活,O
质,O
量,O
及,O
延,O
长,O
患,O
者,O
寿,O
命,O
的,O
目,O
的,O
。,O
在,O
糖,B-Disease
尿,I-Disease
病,I-Disease
慢,I-Disease
